INDEX,TAG,DATE,TIME,LATITUDE N/S,LONGITUDE E/W,HEIGHT,SPEED,HEADING
20,T,220910,051924,60.186054N,24.804094E,1,4.1,80
21,T,220910,051925,60.186050N,24.804129E,1,5.8,84
22,T,220910,051926,60.186050N,24.804159E,1,6.3,92
23,T,220910,051927,60.186047N,24.804195E,1,8.1,91
24,T,220910,051928,60.186043N,24.804249E,1,11.8,90
25,T,220910,051929,60.186043N,24.804314E,1,12.5,86
26,T,220910,051930,60.186043N,24.804379E,1,13.0,82
27,T,220910,051931,60.186028N,24.804441E,0,12.6,108
28,T,220910,051932,60.186024N,24.804508E,0,13.2,106
29,T,220910,051933,60.186028N,24.804577E,0,12.8,104
30,T,220910,051934,60.186031N,24.804642E,0,12.2,102
31,T,220910,051935,60.186031N,24.804707E,0,12.6,100
32,T,220910,051936,60.186028N,24.804766E,0,11.8,93
33,T,220910,051937,60.186024N,24.804829E,1,11.2,93
34,T,220910,051938,60.186024N,24.804882E,1,9.0,92
35,T,220910,051939,60.186035N,24.804918E,0,6.3,90
36,T,220910,051940,60.186043N,24.804935E,0,4.3,90
37,T,220910,051941,60.186092N,24.804943E,0,12.5,81
38,T,220910,051942,60.186138N,24.804949E,0,16.4,73
39,T,220910,051943,60.186188N,24.804953E,1,17.7,69
40,T,220910,051944,60.186241N,24.804943E,1,19.0,356
41,T,220910,051945,60.186287N,24.804935E,1,17.6,354
42,T,220910,051946,60.186329N,24.804926E,1,16.9,353
43,T,220910,051947,60.186359N,24.804913E,2,14.0,344
44,T,220910,051948,60.186401N,24.804895E,3,17.5,344
45,T,220910,051949,60.186443N,24.804884E,3,18.0,346
46,T,220910,051950,60.186489N,24.804876E,3,18.0,346
47,T,220910,051951,60.186531N,24.804865E,4,17.9,347
48,T,220910,051952,60.186581N,24.804855E,4,18.9,348
49,T,220910,051953,60.186626N,24.804844E,4,19.5,348
50,T,220910,051954,60.186680N,24.804836E,5,20.4,349
51,T,220910,051955,60.186733N,24.804827E,5,21.2,350
52,T,220910,051956,60.186787N,24.804815E,5,21.2,352
53,T,220910,051957,60.186840N,24.804806E,6,21.2,354
54,T,220910,051958,60.186897N,24.804798E,6,22.3,355
55,T,220910,051959,60.186951N,24.804789E,6,22.9,355
56,T,220910,052000,60.187012N,24.804775E,6,23.5,356
57,T,220910,052001,60.187073N,24.804766E,7,23.4,355
58,T,220910,052002,60.187138N,24.804754E,7,24.3,355
59,T,220910,052003,60.187195N,24.804745E,7,24.3,355
60,T,220910,052004,60.187256N,24.804735E,7,23.7,355
61,T,220910,052005,60.187313N,24.804728E,8,23.2,355
62,T,220910,052006,60.187370N,24.804718E,8,23.2,355
63,T,220910,052007,60.187428N,24.804712E,8,21.9,356
64,T,220910,052008,60.187485N,24.804703E,7,23.2,356
65,T,220910,052009,60.187538N,24.804693E,7,22.0,357
66,T,220910,052010,60.187588N,24.804684E,7,19.7,356
67,T,220910,052011,60.187614N,24.804678E,6,12.8,356
68,T,220910,052012,60.187634N,24.804672E,6,7.6,357
69,T,220910,052013,60.187649N,24.804668E,5,5.5,5
70,T,220910,052014,60.187660N,24.804672E,5,5.0,5
71,T,220910,052015,60.187672N,24.804676E,4,4.9,5
72,T,220910,052016,60.187683N,24.804676E,5,5.4,354
73,T,220910,052017,60.187695N,24.804672E,5,5.5,348
74,T,220910,052018,60.187702N,24.804670E,6,5.6,334
75,T,220910,052019,60.187729N,24.804655E,6,7.7,335
76,T,220910,052020,60.187752N,24.804646E,6,7.6,337
77,T,220910,052021,60.187767N,24.804644E,6,7.3,339
78,T,220910,052022,60.187798N,24.804644E,6,8.7,3
79,T,220910,052023,60.187836N,24.804644E,6,11.5,3
80,T,220910,052024,60.187889N,24.804634E,6,16.4,356
81,T,220910,052025,60.187943N,24.804626E,6,18.7,356
82,T,220910,052026,60.187996N,24.804619E,7,20.0,355
83,T,220910,052027,60.188049N,24.804605E,7,20.0,354
84,T,220910,052028,60.188103N,24.804596E,7,21.0,354
85,T,220910,052029,60.188156N,24.804585E,7,20.2,354
86,T,220910,052030,60.188210N,24.804569E,7,20.9,353
87,T,220910,052031,60.188259N,24.804556E,7,21.7,353
88,T,220910,052032,60.188316N,24.804543E,7,21.3,354
89,T,220910,052033,60.188370N,24.804529E,7,20.8,354
90,T,220910,052034,60.188419N,24.804514E,6,20.5,354
91,T,220910,052035,60.188473N,24.804504E,7,19.2,0
92,T,220910,052036,60.188511N,24.804520E,7,18.5,15
93,T,220910,052037,60.188553N,24.804546E,8,16.1,14
94,T,220910,052038,60.188602N,24.804564E,9,18.3,13
95,T,220910,052039,60.188644N,24.804585E,11,17.6,12
96,T,220910,052040,60.188686N,24.804583E,13,18.0,354
97,T,220910,052041,60.188755N,24.804548E,13,20.5,354
98,T,220910,052042,60.188789N,24.804522E,14,19.5,353
99,T,220910,052043,60.188850N,24.804502E,14,21.7,352
