INDEX,TAG,DATE,TIME,LATITUDE N/S,LONGITUDE E/W,HEIGHT,SPEED,HEADING
47,T,241108,070515,60.239544N,25.112661E,26,5.6,152
48,T,241108,070516,60.239529N,25.112677E,26,6.6,153
49,T,241108,070517,60.239513N,25.112692E,26,9.6,154
50,T,241108,070518,60.239487N,25.112724E,26,12.3,153
51,T,241108,070519,60.239468N,25.112774E,26,13.0,150
52,T,241108,070520,60.239452N,25.112823E,26,12.2,147
53,T,241108,070521,60.239437N,25.112885E,25,13.6,146
54,T,241108,070522,60.239414N,25.112938E,25,13.7,143
55,T,241108,070523,60.239395N,25.113001E,25,14.0,141
56,T,241108,070524,60.239376N,25.113060E,24,14.1,139
57,T,241108,070525,60.239342N,25.113094E,24,14.2,138
58,T,241108,070526,60.239311N,25.113134E,24,14.7,138
59,T,241108,070527,60.239285N,25.113184E,23,14.8,139
60,T,241108,070528,60.239265N,25.113255E,23,15.4,139
61,T,241108,070529,60.239246N,25.113333E,22,16.1,138
62,T,241108,070530,60.239231N,25.113417E,22,16.0,137
63,T,241108,070531,60.239223N,25.113504E,22,16.0,135
64,T,241108,070532,60.239220N,25.113604E,22,17.2,133
65,T,241108,070533,60.239208N,25.113695E,22,17.7,131
66,T,241108,070534,60.239201N,25.113779E,22,16.5,129
67,T,241108,070535,60.239193N,25.113865E,22,16.0,126
68,T,241108,070536,60.239166N,25.113951E,21,17.1,110
69,T,241108,070537,60.239147N,25.114037E,21,18.1,112
70,T,241108,070538,60.239128N,25.114117E,21,16.8,114
71,T,241108,070539,60.239113N,25.114204E,20,18.3,113
72,T,241108,070540,60.239105N,25.114309E,20,19.0,112
73,T,241108,070541,60.239094N,25.114403E,19,17.6,106
74,T,241108,070542,60.239079N,25.114500E,19,18.5,107
75,T,241108,070543,60.239067N,25.114599E,19,19.4,107
76,T,241108,070544,60.239048N,25.114697E,19,18.9,110
77,T,241108,070545,60.239029N,25.114784E,18,18.3,112
78,T,241108,070546,60.238991N,25.114878E,18,18.3,118
79,T,241108,070547,60.238968N,25.114956E,18,17.1,119
80,T,241108,070548,60.238941N,25.115038E,18,17.6,118
81,T,241108,070549,60.238918N,25.115116E,18,18.3,116
82,T,241108,070550,60.238899N,25.115219E,18,20.7,115
83,T,241108,070551,60.238876N,25.115316E,18,19.8,115
84,T,241108,070552,60.238853N,25.115408E,17,19.7,115
85,T,241108,070553,60.238834N,25.115499E,17,18.6,114
86,T,241108,070554,60.238811N,25.115583E,17,17.7,116
87,T,241108,070555,60.238796N,25.115677E,17,18.7,116
88,T,241108,070556,60.238781N,25.115763E,17,16.9,115
89,T,241108,070557,60.238762N,25.115847E,17,17.5,114
90,T,241108,070558,60.238747N,25.115917E,17,12.3,113
91,T,241108,070559,60.238731N,25.115986E,17,15.3,111
92,T,241108,070600,60.238724N,25.116058E,16,14.5,103
93,T,241108,070601,60.238716N,25.116123E,16,13.4,104
94,T,241108,070602,60.238682N,25.116140E,17,11.8,106
95,T,241108,070603,60.238647N,25.116179E,17,11.1,109
96,T,241108,070604,60.238625N,25.116213E,17,11.0,113
97,T,241108,070605,60.238605N,25.116266E,17,11.6,116
98,T,241108,070606,60.238583N,25.116323E,17,12.9,117
99,T,241108,070607,60.238571N,25.116392E,17,13.4,118
100,T,241108,070608,60.238571N,25.116467E,17,13.4,116
101,T,241108,070609,60.238586N,25.116535E,16,14.0,113
102,T,241108,070610,60.238605N,25.116610E,16,14.8,110
103,T,241108,070611,60.238609N,25.116693E,16,14.8,108
104,T,241108,070612,60.238602N,25.116774E,16,15.7,108
105,T,241108,070613,60.238579N,25.116848E,16,16.1,108
106,T,241108,070614,60.238560N,25.116928E,16,16.6,109
107,T,241108,070615,60.238541N,25.117012E,16,16.5,109
108,T,241108,070616,60.238522N,25.117096E,16,17.1,110
109,T,241108,070617,60.238491N,25.117195E,16,18.3,111
110,T,241108,070618,60.238468N,25.117289E,16,20.1,112
111,T,241108,070619,60.238449N,25.117382E,15,19.7,113
112,T,241108,070620,60.238426N,25.117477E,15,20.0,113
113,T,241108,070621,60.238407N,25.117577E,15,20.5,114
114,T,241108,070622,60.238384N,25.117670E,15,20.7,114
115,T,241108,070623,60.238365N,25.117764E,15,19.7,113
116,T,241108,070624,60.238342N,25.117855E,14,19.7,114
117,T,241108,070625,60.238327N,25.117954E,14,20.7,114
118,T,241108,070626,60.238308N,25.118055E,14,20.7,112
119,T,241108,070627,60.238251N,25.118128E,14,22.3,114
120,T,241108,070628,60.238228N,25.118237E,13,23.2,113
121,T,241108,070629,60.238201N,25.118343E,13,23.1,113
122,T,241108,070630,60.238178N,25.118452E,13,23.2,113
123,T,241108,070631,60.238159N,25.118567E,12,24.0,111
124,T,241108,070632,60.238140N,25.118677E,12,23.6,109
125,T,241108,070633,60.238121N,25.118793E,11,23.6,109
126,T,241108,070634,60.238094N,25.118904E,11,23.3,110
127,T,241108,070635,60.238071N,25.119011E,10,23.3,111
128,T,241108,070636,60.238041N,25.119106E,10,23.2,112
129,T,241108,070637,60.237999N,25.119204E,10,23.2,114
130,T,241108,070638,60.237976N,25.119316E,10,24.0,115
131,T,241108,070639,60.237953N,25.119431E,9,24.5,115
132,T,241108,070640,60.237926N,25.119541E,9,23.3,115
133,T,241108,070641,60.237907N,25.119648E,8,22.1,114
134,T,241108,070642,60.237881N,25.119743E,8,19.4,113
135,T,241108,070643,60.237865N,25.119837E,8,19.0,112
136,T,241108,070644,60.237846N,25.119932E,8,18.2,111
137,T,241108,070645,60.237835N,25.120018E,7,17.2,110
138,T,241108,070646,60.237820N,25.120102E,7,16.4,109
139,T,241108,070647,60.237797N,25.120178E,7,16.3,115
140,T,241108,070648,60.237766N,25.120275E,6,16.8,115
141,T,241108,070649,60.237747N,25.120359E,6,16.1,114
142,T,241108,070650,60.237728N,25.120443E,6,13.7,113
143,T,241108,070651,60.237728N,25.120510E,5,11.2,111
144,T,241108,070652,60.237724N,25.120564E,5,9.4,111
145,T,241108,070653,60.237717N,25.120604E,5,6.8,112
146,T,241108,070654,60.237698N,25.120617E,5,6.8,115
147,T,241108,070655,60.237656N,25.120611E,6,12.6,120
148,T,241108,070656,60.237614N,25.120605E,6,15.1,125
149,T,241108,070657,60.237568N,25.120611E,5,17.9,176
150,T,241108,070658,60.237522N,25.120621E,5,16.1,174
151,T,241108,070659,60.237488N,25.120625E,6,15.5,176
152,T,241108,070700,60.237450N,25.120625E,6,16.5,176
153,T,241108,070701,60.237408N,25.120630E,5,17.4,176
154,T,241108,070702,60.237366N,25.120626E,5,18.3,179
155,T,241108,070703,60.237320N,25.120621E,5,18.2,181
156,T,241108,070704,60.237274N,25.120611E,5,17.3,182
157,T,241108,070705,60.237236N,25.120611E,6,17.4,182
158,T,241108,070706,60.237198N,25.120609E,6,16.2,182
159,T,241108,070707,60.237160N,25.120611E,5,15.5,181
160,T,241108,070708,60.237133N,25.120634E,5,13.4,179
161,T,241108,070709,60.237106N,25.120687E,5,15.5,176
162,T,241108,070710,60.237095N,25.120764E,6,15.7,172
163,T,241108,070711,60.237091N,25.120844E,6,15.2,166
164,T,241108,070712,60.237095N,25.120932E,7,16.7,159
165,T,241108,070713,60.237095N,25.121023E,8,17.6,153
166,T,241108,070714,60.237091N,25.121117E,8,17.9,148
167,T,241108,070715,60.237091N,25.121206E,8,17.9,142
168,T,241108,070716,60.237091N,25.121298E,8,17.4,137
169,T,241108,070717,60.237087N,25.121382E,8,17.5,132
170,T,241108,070718,60.237080N,25.121475E,9,17.9,127
171,T,241108,070719,60.237061N,25.121580E,9,18.2,124
172,T,241108,070720,60.237053N,25.121664E,9,18.2,120
173,T,241108,070721,60.237049N,25.121744E,9,17.9,117
174,T,241108,070722,60.237049N,25.121832E,9,17.0,115
175,T,241108,070723,60.237045N,25.121922E,9,16.4,113
176,T,241108,070724,60.237038N,25.122005E,9,16.3,111
177,T,241108,070725,60.237022N,25.122086E,9,14.7,110
178,T,241108,070726,60.237007N,25.122162E,9,14.8,119
179,T,241108,070727,60.236980N,25.122227E,9,16.7,136
180,T,241108,070728,60.236946N,25.122290E,9,18.1,138
181,T,241108,070729,60.236916N,25.122355E,9,17.7,138
182,T,241108,070730,60.236881N,25.122410E,8,18.6,144
183,T,241108,070731,60.236839N,25.122471E,8,20.1,143
184,T,241108,070732,60.236805N,25.122543E,8,20.7,123
185,T,241108,070733,60.236786N,25.122631E,8,19.7,110
186,T,241108,070734,60.236763N,25.122732E,8,21.2,112
187,T,241108,070735,60.236744N,25.122845E,8,23.3,112
188,T,241108,070736,60.236729N,25.122959E,9,23.9,112
189,T,241108,070737,60.236710N,25.123087E,10,26.5,111
190,T,241108,070738,60.236687N,25.123217E,10,27.0,111
191,T,241108,070739,60.236671N,25.123341E,10,27.4,112
192,T,241108,070740,60.236645N,25.123465E,10,28.6,114
193,T,241108,070741,60.236607N,25.123592E,10,28.6,116
194,T,241108,070742,60.236580N,25.123716E,9,28.2,118
195,T,241108,070743,60.236549N,25.123838E,9,29.0,119
196,T,241108,070744,60.236515N,25.123974E,8,30.5,119
197,T,241108,070745,60.236488N,25.124104E,8,28.5,117
198,T,241108,070746,60.236462N,25.124249E,8,29.6,116
199,T,241108,070747,60.236439N,25.124386E,8,29.5,115
200,T,241108,070748,60.236423N,25.124519E,8,28.9,115
201,T,241108,070749,60.236404N,25.124647E,8,25.6,114
202,T,241108,070750,60.236378N,25.124762E,8,22.5,116
203,T,241108,070751,60.236343N,25.124859E,8,20.9,123
204,T,241108,070752,60.236317N,25.124950E,8,19.7,124
205,T,241108,070753,60.236294N,25.125044E,8,20.1,123
206,T,241108,070754,60.236267N,25.125132E,8,20.1,123
207,T,241108,070755,60.236240N,25.125219E,8,21.4,123
208,T,241108,070756,60.236217N,25.125319E,8,21.9,122
209,T,241108,070757,60.236187N,25.125414E,8,22.0,123
210,T,241108,070758,60.236160N,25.125511E,7,22.7,123
211,T,241108,070759,60.236130N,25.125607E,7,21.8,123
212,T,241108,070800,60.236099N,25.125698E,7,21.1,124
213,T,241108,070801,60.236069N,25.125788E,7,21.6,126
214,T,241108,070802,60.236034N,25.125877E,6,21.5,128
215,T,241108,070803,60.236000N,25.125963E,6,20.9,130
216,T,241108,070804,60.235970N,25.126051E,6,20.5,131
217,T,241108,070805,60.235935N,25.126135E,5,21.0,131
218,T,241108,070806,60.235901N,25.126225E,5,20.7,132
219,T,241108,070807,60.235863N,25.126312E,5,20.8,132
220,T,241108,070808,60.235832N,25.126398E,5,20.2,132
221,T,241108,070809,60.235798N,25.126484E,5,19.1,135
222,T,241108,070810,60.235771N,25.126556E,6,14.5,133
223,T,241108,070811,60.235764N,25.126633E,6,14.5,129
224,T,241108,070812,60.235767N,25.126707E,6,14.4,124
225,T,241108,070813,60.235775N,25.126789E,6,16.3,120
226,T,241108,070814,60.235783N,25.126879E,6,17.5,115
227,T,241108,070815,60.235802N,25.126965E,6,16.8,111
228,T,241108,070816,60.235821N,25.127052E,6,18.7,106
229,T,241108,070817,60.235844N,25.127150E,7,19.3,102
230,T,241108,070818,60.235867N,25.127251E,8,20.6,72
231,T,241108,070819,60.235882N,25.127356E,8,20.7,84
232,T,241108,070820,60.235882N,25.127466E,9,21.1,98
233,T,241108,070821,60.235867N,25.127579E,9,21.6,106
234,T,241108,070822,60.235847N,25.127689E,9,23.3,112
235,T,241108,070823,60.235821N,25.127800E,9,24.6,115
236,T,241108,070824,60.235790N,25.127916E,8,24.9,115
237,T,241108,070825,60.235764N,25.128035E,8,25.6,115
238,T,241108,070826,60.235737N,25.128153E,8,25.0,114
239,T,241108,070827,60.235710N,25.128263E,7,23.1,108
240,T,241108,070828,60.235695N,25.128368E,7,20.6,102
241,T,241108,070829,60.235683N,25.128460E,8,16.8,100
242,T,241108,070830,60.235680N,25.128532E,8,11.8,83
243,T,241108,070831,60.235691N,25.128580E,8,9.0,53
244,T,241108,070832,60.235710N,25.128611E,8,10.2,30
245,T,241108,070833,60.235744N,25.128635E,8,14.1,21
246,T,241108,070834,60.235783N,25.128666E,8,17.8,21
247,T,241108,070835,60.235828N,25.128700E,8,17.2,22
248,T,241108,070836,60.235870N,25.128736E,7,20.5,22
249,T,241108,070837,60.235920N,25.128782E,7,20.9,23
250,T,241108,070838,60.235970N,25.128824E,7,19.5,22
251,T,241108,070839,60.236015N,25.128862E,7,20.3,21
252,T,241108,070840,60.236061N,25.128897E,6,21.4,21
253,T,241108,070841,60.236111N,25.128927E,5,19.8,20
254,T,241108,070842,60.236160N,25.128962E,5,21.0,19
