INDEX,TAG,DATE,TIME,LATITUDE N/S,LONGITUDE E/W,HEIGHT,SPEED,HEADING
127,T,240619,055041,60.735405N,24.779831E,88,6.0,310
128,T,240619,055042,60.735409N,24.779797E,88,8.0,306
129,T,240619,055043,60.735416N,24.779749E,88,10.4,304
130,T,240619,055044,60.735428N,24.779690E,88,13.3,303
131,T,240619,055045,60.735447N,24.779631E,88,14.3,304
132,T,240619,055046,60.735474N,24.779572E,88,14.7,304
133,T,240619,055047,60.735497N,24.779507E,88,16.7,305
134,T,240619,055048,60.735519N,24.779432E,88,17.2,295
135,T,240619,055049,60.735535N,24.779345E,88,18.9,285
136,T,240619,055050,60.735554N,24.779236E,88,21.7,286
137,T,240619,055051,60.735573N,24.779125E,88,21.3,286
138,T,240619,055052,60.735592N,24.779016E,88,22.4,285
139,T,240619,055053,60.735607N,24.778904E,88,22.3,285
140,T,240619,055054,60.735626N,24.778788E,88,22.2,285
141,T,240619,055055,60.735645N,24.778673E,88,22.0,284
142,T,240619,055056,60.735661N,24.778564E,88,20.9,283
143,T,240619,055057,60.735676N,24.778454E,88,21.6,285
144,T,240619,055058,60.735695N,24.778345E,88,21.0,285
145,T,240619,055059,60.735725N,24.778246E,89,21.5,302
146,T,240619,055100,60.735760N,24.778154E,89,21.4,309
147,T,240619,055101,60.735798N,24.778076E,89,21.4,318
148,T,240619,055102,60.735836N,24.778015E,89,19.3,328
149,T,240619,055103,60.735882N,24.777975E,90,19.9,340
150,T,240619,055104,60.735928N,24.777945E,90,19.5,340
151,T,240619,055105,60.735977N,24.777914E,90,21.4,342
152,T,240619,055106,60.736027N,24.777884E,90,21.5,343
153,T,240619,055107,60.736080N,24.777857E,90,20.6,342
154,T,240619,055108,60.736134N,24.777830E,90,23.2,344
155,T,240619,055109,60.736183N,24.777803E,90,21.7,345
156,T,240619,055110,60.736240N,24.777777E,90,24.2,345
157,T,240619,055111,60.736298N,24.777744E,90,23.1,344
158,T,240619,055112,60.736351N,24.777714E,90,21.9,345
159,T,240619,055113,60.736404N,24.777683E,90,21.8,343
160,T,240619,055114,60.736462N,24.777649E,90,22.1,342
161,T,240619,055115,60.736515N,24.777617E,91,22.7,342
162,T,240619,055116,60.736572N,24.777580E,91,22.2,342
163,T,240619,055117,60.736629N,24.777548E,91,22.7,342
164,T,240619,055118,60.736687N,24.777517E,91,23.7,343
165,T,240619,055119,60.736744N,24.777485E,91,22.4,343
166,T,240619,055120,60.736801N,24.777454E,91,21.2,343
167,T,240619,055121,60.736858N,24.777422E,91,22.0,344
168,T,240619,055122,60.736919N,24.777393E,92,22.1,343
169,T,240619,055123,60.736980N,24.777365E,92,21.8,343
170,T,240619,055124,60.737038N,24.777342E,92,22.6,345
171,T,240619,055125,60.737095N,24.777321E,92,21.3,346
172,T,240619,055126,60.737152N,24.777294E,93,20.7,345
173,T,240619,055127,60.737202N,24.777264E,93,19.5,344
174,T,240619,055128,60.737240N,24.777239E,93,15.7,343
175,T,240619,055129,60.737270N,24.777212E,94,9.1,342
176,T,240619,055130,60.737289N,24.777182E,94,6.9,339
177,T,240619,055131,60.737297N,24.777143E,94,9.3,336
178,T,240619,055132,60.737293N,24.777100E,94,9.9,246
179,T,240619,055133,60.737286N,24.777050E,94,11.0,248
180,T,240619,055134,60.737274N,24.776993E,94,12.6,249
181,T,240619,055135,60.737270N,24.776924E,94,13.8,250
182,T,240619,055136,60.737282N,24.776861E,94,13.2,254
183,T,240619,055137,60.737297N,24.776791E,94,16.3,259
184,T,240619,055138,60.737320N,24.776712E,94,17.2,262
185,T,240619,055139,60.737339N,24.776625E,94,20.2,296
186,T,240619,055140,60.737370N,24.776527E,94,21.6,299
187,T,240619,055141,60.737400N,24.776430E,94,22.8,301
188,T,240619,055142,60.737431N,24.776331E,94,22.0,302
189,T,240619,055143,60.737465N,24.776236E,93,22.7,305
190,T,240619,055144,60.737499N,24.776144E,93,22.3,314
191,T,240619,055145,60.737541N,24.776064E,93,20.8,317
192,T,240619,055146,60.737579N,24.775984E,93,20.7,314
193,T,240619,055147,60.737610N,24.775900E,93,20.3,303
194,T,240619,055148,60.737640N,24.775814E,93,20.8,297
195,T,240619,055149,60.737671N,24.775724E,94,20.9,299
196,T,240619,055150,60.737694N,24.775633E,94,19.9,300
197,T,240619,055151,60.737720N,24.775557E,94,19.0,300
198,T,240619,055152,60.737774N,24.775484E,94,19.7,302
199,T,240619,055153,60.737797N,24.775391E,95,19.7,301
200,T,240619,055154,60.737835N,24.775305E,96,18.7,301
201,T,240619,055155,60.737865N,24.775211E,96,19.8,301
202,T,240619,055156,60.737888N,24.775120E,96,20.2,300
203,T,240619,055157,60.737907N,24.775026E,95,19.7,298
204,T,240619,055158,60.737930N,24.774937E,96,20.9,298
205,T,240619,055159,60.737961N,24.774841E,95,20.4,298
206,T,240619,055200,60.737984N,24.774744E,95,20.5,297
207,T,240619,055201,60.738007N,24.774649E,95,20.5,296
