INDEX,TAG,DATE,TIME,LATITUDE N/S,LONGITUDE E/W,HEIGHT,SPEED,HEADING
74,T,240622,053238,60.800388N,25.495905E,98,3.6,21
75,T,240622,053239,60.800400N,25.495916E,97,6.2,20
76,T,240622,053240,60.800419N,25.495930E,97,8.9,21
77,T,240622,053241,60.800449N,25.495956E,97,11.2,24
78,T,240622,053242,60.800480N,25.495989E,97,12.8,26
79,T,240622,053243,60.800510N,25.496019E,97,14.2,24
80,T,240622,053244,60.800549N,25.496054E,97,15.1,25
81,T,240622,053245,60.800583N,25.496086E,97,16.1,25
82,T,240622,053246,60.800621N,25.496124E,97,16.5,24
83,T,240622,053247,60.800659N,25.496162E,97,16.6,24
84,T,240622,053248,60.800701N,25.496204E,97,16.9,25
85,T,240622,053249,60.800739N,25.496243E,97,17.0,25
86,T,240622,053250,60.800781N,25.496283E,97,17.3,26
87,T,240622,053251,60.800819N,25.496323E,97,18.5,25
88,T,240622,053252,60.800869N,25.496363E,97,19.0,25
89,T,240622,053253,60.800911N,25.496405E,97,19.0,25
90,T,240622,053254,60.800953N,25.496447E,97,18.9,25
91,T,240622,053255,60.800995N,25.496490E,97,19.3,25
92,T,240622,053256,60.801041N,25.496536E,97,19.3,26
93,T,240622,053257,60.801083N,25.496578E,96,19.3,26
94,T,240622,053258,60.801128N,25.496622E,96,19.4,25
95,T,240622,053259,60.801174N,25.496666E,96,19.6,25
96,T,240622,053300,60.801220N,25.496712E,96,19.6,25
97,T,240622,053301,60.801266N,25.496754E,96,19.0,25
98,T,240622,053302,60.801308N,25.496796E,96,18.4,25
99,T,240622,053303,60.801346N,25.496843E,96,17.7,35
100,T,240622,053304,60.801373N,25.496910E,96,16.7,68
101,T,240622,053305,60.801373N,25.496990E,96,16.1,106
102,T,240622,053306,60.801353N,25.497055E,96,16.4,140
103,T,240622,053307,60.801311N,25.497105E,96,18.3,157
104,T,240622,053308,60.801270N,25.497124E,97,17.3,180
105,T,240622,053309,60.801220N,25.497116E,97,18.7,190
106,T,240622,053310,60.801174N,25.497095E,97,18.3,198
107,T,240622,053311,60.801128N,25.497059E,97,20.3,204
108,T,240622,053312,60.801079N,25.497017E,97,21.0,207
109,T,240622,053313,60.801033N,25.496967E,98,21.7,208
110,T,240622,053314,60.800980N,25.496918E,98,22.1,207
111,T,240622,053315,60.800926N,25.496866E,98,22.4,207
112,T,240622,053316,60.800877N,25.496817E,98,22.0,207
113,T,240622,053317,60.800827N,25.496765E,98,21.7,206
114,T,240622,053318,60.800777N,25.496719E,98,21.2,205
115,T,240622,053319,60.800728N,25.496675E,98,20.2,205
116,T,240622,053320,60.800686N,25.496634E,98,19.6,204
117,T,240622,053321,60.800640N,25.496595E,98,19.0,203
118,T,240622,053322,60.800594N,25.496559E,99,18.4,202
119,T,240622,053323,60.800552N,25.496525E,99,18.3,202
120,T,240622,053324,60.800510N,25.496489E,99,17.8,201
121,T,240622,053325,60.800472N,25.496456E,99,17.3,202
122,T,240622,053326,60.800430N,25.496420E,99,17.2,202
123,T,240622,053327,60.800392N,25.496386E,99,17.1,203
124,T,240622,053328,60.800350N,25.496351E,100,17.0,203
125,T,240622,053329,60.800312N,25.496317E,100,16.9,204
126,T,240622,053330,60.800278N,25.496283E,100,16.8,204
127,T,240622,053331,60.800236N,25.496244E,100,16.3,205
128,T,240622,053332,60.800201N,25.496206E,101,16.2,207
129,T,240622,053333,60.800163N,25.496166E,101,16.2,208
130,T,240622,053334,60.800129N,25.496126E,101,16.2,208
131,T,240622,053335,60.800095N,25.496088E,101,16.1,209
132,T,240622,053336,60.800060N,25.496048E,101,16.1,210
133,T,240622,053337,60.800022N,25.496008E,102,16.0,210
134,T,240622,053338,60.799992N,25.495966E,102,16.0,210
135,T,240622,053339,60.799957N,25.495926E,102,15.9,210
136,T,240622,053340,60.799919N,25.495886E,102,15.8,210
137,T,240622,053341,60.799889N,25.495844E,102,15.8,210
138,T,240622,053342,60.799854N,25.495804E,102,15.7,210
139,T,240622,053343,60.799824N,25.495764E,103,15.2,209
140,T,240622,053344,60.799793N,25.495726E,103,14.9,208
141,T,240622,053345,60.799759N,25.495691E,103,14.8,209
142,T,240622,053346,60.799728N,25.495651E,103,14.3,209
143,T,240622,053347,60.799702N,25.495605E,103,14.4,223
144,T,240622,053348,60.799679N,25.495548E,103,14.4,240
145,T,240622,053349,60.799667N,25.495476E,103,15.0,260
146,T,240622,053350,60.799664N,25.495399E,103,15.1,273
147,T,240622,053351,60.799671N,25.495317E,103,16.5,277
148,T,240622,053352,60.799675N,25.495230E,103,16.8,277
149,T,240622,053353,60.799679N,25.495142E,103,17.3,276
150,T,240622,053354,60.799686N,25.495052E,103,16.7,277
151,T,240622,053355,60.799690N,25.494965E,103,16.6,276
152,T,240622,053356,60.799698N,25.494873E,103,17.6,274
153,T,240622,053357,60.799702N,25.494780E,104,17.0,274
154,T,240622,053358,60.799706N,25.494692E,104,16.6,274
155,T,240622,053359,60.799709N,25.494604E,104,16.9,274
156,T,240622,053400,60.799713N,25.494514E,104,16.9,273
157,T,240622,053401,60.799713N,25.494425E,104,17.4,272
158,T,240622,053402,60.799709N,25.494333E,104,17.5,258
159,T,240622,053403,60.799698N,25.494246E,105,17.4,250
160,T,240622,053404,60.799679N,25.494164E,105,17.3,243
161,T,240622,053405,60.799660N,25.494089E,105,16.3,235
162,T,240622,053406,60.799633N,25.494024E,105,16.3,226
163,T,240622,053407,60.799603N,25.493963E,105,15.9,227
164,T,240622,053408,60.799580N,25.493902E,105,15.9,228
165,T,240622,053409,60.799561N,25.493826E,106,16.2,231
166,T,240622,053410,60.799553N,25.493742E,106,17.6,233
167,T,240622,053411,60.799541N,25.493650E,106,18.8,235
168,T,240622,053412,60.799526N,25.493555E,106,18.8,237
169,T,240622,053413,60.799511N,25.493460E,105,18.9,239
170,T,240622,053414,60.799500N,25.493364E,105,19.3,241
171,T,240622,053415,60.799484N,25.493265E,105,19.6,242
172,T,240622,053416,60.799473N,25.493166E,105,20.0,243
173,T,240622,053417,60.799458N,25.493067E,105,20.0,245
174,T,240622,053418,60.799438N,25.492964E,105,20.4,246
175,T,240622,053419,60.799427N,25.492863E,105,20.7,247
176,T,240622,053420,60.799412N,25.492756E,105,20.8,248
177,T,240622,053421,60.799397N,25.492653E,105,21.4,248
178,T,240622,053422,60.799381N,25.492544E,104,21.7,249
179,T,240622,053423,60.799370N,25.492434E,105,22.1,250
180,T,240622,053424,60.799355N,25.492319E,104,22.5,251
181,T,240622,053425,60.799347N,25.492205E,104,22.5,252
182,T,240622,053426,60.799339N,25.492088E,104,22.9,253
183,T,240622,053427,60.799339N,25.491970E,104,23.0,254
184,T,240622,053428,60.799335N,25.491852E,104,23.5,255
185,T,240622,053429,60.799335N,25.491732E,103,23.5,257
186,T,240622,053430,60.799339N,25.491611E,103,23.6,258
187,T,240622,053431,60.799351N,25.491489E,103,24.1,260
188,T,240622,053432,60.799358N,25.491367E,103,24.5,262
189,T,240622,053433,60.799374N,25.491241E,102,25.0,264
190,T,240622,053434,60.799385N,25.491116E,102,25.5,266
191,T,240622,053435,60.799397N,25.490982E,102,26.1,267
192,T,240622,053436,60.799408N,25.490849E,102,26.8,269
193,T,240622,053437,60.799419N,25.490711E,101,27.4,270
194,T,240622,053438,60.799431N,25.490570E,101,28.2,271
195,T,240622,053439,60.799446N,25.490423E,101,28.1,272
196,T,240622,053440,60.799458N,25.490282E,101,28.2,273
197,T,240622,053441,60.799469N,25.490135E,100,28.3,274
198,T,240622,053442,60.799480N,25.489994E,100,28.2,274
199,T,240622,053443,60.799492N,25.489849E,100,28.1,275
200,T,240622,053444,60.799507N,25.489704E,100,28.2,276
201,T,240622,053445,60.799526N,25.489567E,99,28.2,277
202,T,240622,053446,60.799553N,25.489435E,99,28.2,297
203,T,240622,053447,60.799587N,25.489313E,98,28.2,305
204,T,240622,053448,60.799637N,25.489204E,97,27.7,313
205,T,240622,053449,60.799683N,25.489111E,97,27.2,318
206,T,240622,053450,60.799740N,25.489019E,96,27.2,321
207,T,240622,053451,60.799793N,25.488934E,96,26.2,320
208,T,240622,053452,60.799839N,25.488844E,95,26.6,318
209,T,240622,053453,60.799892N,25.488756E,95,27.3,319
210,T,240622,053454,60.799946N,25.488665E,95,27.5,318
211,T,240622,053455,60.799995N,25.488567E,94,28.5,317
212,T,240622,053456,60.800049N,25.488472E,94,28.4,318
213,T,240622,053457,60.800102N,25.488379E,93,28.8,318
214,T,240622,053458,60.800159N,25.488283E,93,28.9,319
215,T,240622,053459,60.800217N,25.488186E,92,29.3,319
216,T,240622,053500,60.800274N,25.488085E,92,29.9,319
217,T,240622,053501,60.800327N,25.487984E,92,30.4,319
218,T,240622,053502,60.800388N,25.487883E,91,31.0,319
219,T,240622,053503,60.800446N,25.487774E,91,31.3,318
220,T,240622,053504,60.800499N,25.487658E,91,31.8,317
221,T,240622,053505,60.800556N,25.487535E,90,31.9,316
222,T,240622,053506,60.800606N,25.487408E,90,32.0,315
223,T,240622,053507,60.800652N,25.487276E,90,32.5,314
