INDEX,TAG,DATE,TIME,LATITUDE N/S,LONGITUDE E/W,HEIGHT,SPEED,HEADING
20,T,231006,071627,60.535648N,24.214788E,90,4.3,53
21,T,231006,071628,60.535660N,24.214832E,91,7.0,56
22,T,231006,071629,60.535671N,24.214872E,91,9.6,58
23,T,231006,071630,60.535683N,24.214924E,91,10.7,57
24,T,231006,071631,60.535702N,24.214979E,92,12.0,59
25,T,231006,071632,60.535709N,24.215046E,92,11.5,60
26,T,231006,071633,60.535713N,24.215103E,92,11.4,62
27,T,231006,071634,60.535717N,24.215166E,92,11.8,64
28,T,231006,071635,60.535725N,24.215227E,92,12.8,65
29,T,231006,071636,60.535748N,24.215277E,92,14.5,65
30,T,231006,071637,60.535782N,24.215298E,92,13.8,62
31,T,231006,071638,60.535828N,24.215277E,92,17.5,340
32,T,231006,071639,60.535866N,24.215225E,92,18.2,325
33,T,231006,071640,60.535900N,24.215176E,92,16.1,327
34,T,231006,071641,60.535938N,24.215124E,91,19.1,329
35,T,231006,071642,60.535988N,24.215069E,91,21.4,327
36,T,231006,071643,60.536030N,24.215004E,91,20.8,321
37,T,231006,071644,60.536072N,24.214939E,91,21.2,321
38,T,231006,071645,60.536121N,24.214872E,91,22.2,322
39,T,231006,071646,60.536163N,24.214806E,91,21.8,323
40,T,231006,071647,60.536217N,24.214733E,91,23.1,322
41,T,231006,071648,60.536266N,24.214649E,91,23.8,321
42,T,231006,071649,60.536312N,24.214561E,90,24.2,321
43,T,231006,071650,60.536369N,24.214472E,90,24.5,319
44,T,231006,071651,60.536419N,24.214382E,90,25.1,318
45,T,231006,071652,60.536469N,24.214296E,90,24.6,318
46,T,231006,071653,60.536518N,24.214205E,90,25.5,318
47,T,231006,071654,60.536568N,24.214113E,89,25.2,317
48,T,231006,071655,60.536621N,24.214022E,89,25.2,316
49,T,231006,071656,60.536659N,24.213930E,89,25.1,314
50,T,231006,071657,60.536705N,24.213837E,89,25.2,313
51,T,231006,071658,60.536751N,24.213743E,89,25.6,314
52,T,231006,071659,60.536800N,24.213654E,89,25.7,314
53,T,231006,071700,60.536842N,24.213562E,89,24.8,314
54,T,231006,071701,60.536896N,24.213465E,88,23.9,314
55,T,231006,071702,60.536942N,24.213373E,88,22.9,313
56,T,231006,071703,60.536980N,24.213284E,88,22.8,313
57,T,231006,071704,60.537022N,24.213203E,87,21.1,313
58,T,231006,071705,60.537056N,24.213137E,87,17.3,315
59,T,231006,071706,60.537083N,24.213081E,87,13.7,316
60,T,231006,071707,60.537113N,24.213036E,87,12.5,317
61,T,231006,071708,60.537136N,24.212997E,87,13.0,331
62,T,231006,071709,60.537167N,24.212971E,86,12.7,338
63,T,231006,071710,60.537201N,24.212944E,86,14.1,342
64,T,231006,071711,60.537231N,24.212923E,86,14.2,346
65,T,231006,071712,60.537273N,24.212914E,86,15.8,357
66,T,231006,071713,60.537312N,24.212927E,86,16.7,18
67,T,231006,071714,60.537354N,24.212971E,85,18.6,35
68,T,231006,071715,60.537392N,24.213032E,85,19.5,34
69,T,231006,071716,60.537434N,24.213097E,85,20.6,31
70,T,231006,071717,60.537479N,24.213142E,85,22.1,23
