INDEX,TAG,DATE,TIME,LATITUDE N/S,LONGITUDE E/W,HEIGHT,SPEED,HEADING
112,T,200823,043824,60.458012N,25.101416E,49,4.2,346
113,T,200823,043825,60.458019N,25.101408E,49,4.1,338
114,T,200823,043826,60.458035N,25.101404E,49,6.6,340
115,T,200823,043827,60.458057N,25.101404E,49,9.7,0
116,T,200823,043828,60.458084N,25.101402E,49,11.4,357
117,T,200823,043829,60.458115N,25.101400E,49,13.0,357
118,T,200823,043830,60.458153N,25.101397E,49,14.7,357
119,T,200823,043831,60.458191N,25.101389E,49,15.8,356
120,T,200823,043832,60.458237N,25.101383E,49,17.0,355
121,T,200823,043833,60.458279N,25.101374E,49,18.1,354
122,T,200823,043834,60.458328N,25.101360E,48,19.3,353
123,T,200823,043835,60.458378N,25.101349E,48,20.0,353
124,T,200823,043836,60.458427N,25.101337E,48,20.0,353
125,T,200823,043837,60.458481N,25.101332E,48,21.4,355
126,T,200823,043838,60.458534N,25.101324E,48,21.3,355
127,T,200823,043839,60.458588N,25.101316E,48,21.4,356
128,T,200823,043840,60.458641N,25.101303E,48,21.5,355
129,T,200823,043841,60.458694N,25.101294E,48,21.6,354
130,T,200823,043842,60.458752N,25.101282E,48,21.1,354
131,T,200823,043843,60.458801N,25.101273E,48,20.5,353
132,T,200823,043844,60.458851N,25.101255E,48,20.0,352
133,T,200823,043845,60.458900N,25.101238E,48,19.5,351
134,T,200823,043846,60.458954N,25.101225E,48,18.9,350
135,T,200823,043847,60.458996N,25.101208E,48,18.9,350
136,T,200823,043848,60.459045N,25.101196E,47,18.5,350
137,T,200823,043849,60.459087N,25.101185E,47,18.5,356
138,T,200823,043850,60.459137N,25.101177E,47,18.4,355
139,T,200823,043851,60.459179N,25.101185E,47,19.1,11
140,T,200823,043852,60.459225N,25.101215E,47,18.4,27
141,T,200823,043853,60.459267N,25.101252E,47,17.8,26
142,T,200823,043854,60.459312N,25.101278E,47,17.8,25
143,T,200823,043855,60.459351N,25.101303E,47,15.9,21
144,T,200823,043856,60.459389N,25.101343E,47,17.7,22
145,T,200823,043857,60.459419N,25.101412E,47,17.9,25
146,T,200823,043858,60.459450N,25.101498E,47,19.9,26
147,T,200823,043859,60.459469N,25.101591E,47,19.2,29
148,T,200823,043900,60.459484N,25.101692E,47,20.1,33
149,T,200823,043901,60.459499N,25.101793E,47,20.0,36
150,T,200823,043902,60.459515N,25.101894E,47,20.1,39
151,T,200823,043903,60.459534N,25.101994E,47,20.2,42
152,T,200823,043904,60.459549N,25.102097E,47,20.7,46
153,T,200823,043905,60.459564N,25.102200E,47,21.1,48
154,T,200823,043906,60.459579N,25.102304E,47,21.2,51
155,T,200823,043907,60.459595N,25.102411E,47,21.2,54
156,T,200823,043908,60.459606N,25.102518E,47,21.6,56
157,T,200823,043909,60.459629N,25.102625E,47,21.6,58
158,T,200823,043910,60.459641N,25.102730E,47,22.0,60
159,T,200823,043911,60.459656N,25.102837E,46,22.0,62
160,T,200823,043912,60.459671N,25.102947E,46,23.0,63
161,T,200823,043913,60.459686N,25.103062E,46,23.0,64
