INDEX,TAG,DATE,TIME,LATITUDE N/S,LONGITUDE E/W,HEIGHT,SPEED,HEADING
113,T,211031,084258,60.646828N,25.307625E,80,4.3,355
114,T,211031,084259,60.646839N,25.307606E,80,5.6,350
115,T,211031,084300,60.646847N,25.307577E,80,9.5,346
116,T,211031,084301,60.646870N,25.307535E,80,11.2,342
117,T,211031,084302,60.646885N,25.307487E,80,12.3,338
118,T,211031,084303,60.646904N,25.307436E,81,12.9,334
119,T,211031,084304,60.646919N,25.307381E,81,13.0,330
120,T,211031,084305,60.646927N,25.307329E,81,10.1,291
121,T,211031,084306,60.646938N,25.307276E,81,10.9,288
122,T,211031,084307,60.646950N,25.307230E,81,9.7,290
123,T,211031,084308,60.646954N,25.307186E,80,8.7,281
124,T,211031,084309,60.646969N,25.307133E,80,12.0,282
125,T,211031,084310,60.646980N,25.307076E,80,11.1,283
126,T,211031,084311,60.646996N,25.307020E,80,12.7,286
127,T,211031,084312,60.647015N,25.306965E,80,11.0,287
128,T,211031,084313,60.647041N,25.306904E,80,11.9,289
129,T,211031,084314,60.647072N,25.306845E,81,14.3,291
130,T,211031,084315,60.647106N,25.306780E,82,13.5,305
131,T,211031,084316,60.647141N,25.306700E,82,18.0,303
132,T,211031,084317,60.647171N,25.306612E,81,18.9,306
133,T,211031,084318,60.647209N,25.306520E,81,19.9,307
134,T,211031,084319,60.647247N,25.306429E,82,20.4,308
135,T,211031,084320,60.647289N,25.306339E,82,20.6,311
136,T,211031,084321,60.647327N,25.306255E,82,20.7,312
137,T,211031,084322,60.647369N,25.306175E,82,20.6,314
138,T,211031,084323,60.647411N,25.306103E,82,19.7,316
139,T,211031,084324,60.647457N,25.306036E,82,19.7,317
140,T,211031,084325,60.647499N,25.305977E,82,19.6,318
141,T,211031,084326,60.647549N,25.305937E,83,18.9,344
142,T,211031,084327,60.647594N,25.305910E,83,19.8,347
143,T,211031,084328,60.647648N,25.305880E,83,20.1,344
144,T,211031,084329,60.647697N,25.305841E,82,20.8,334
145,T,211031,084330,60.647743N,25.305792E,82,20.8,331
146,T,211031,084331,60.647800N,25.305740E,82,20.5,332
147,T,211031,084332,60.647861N,25.305716E,82,22.2,334
148,T,211031,084333,60.647919N,25.305696E,82,22.3,336
149,T,211031,084334,60.647980N,25.305679E,82,23.3,338
150,T,211031,084335,60.648041N,25.305660E,82,24.2,339
151,T,211031,084336,60.648106N,25.305635E,82,24.1,340
152,T,211031,084337,60.648163N,25.305605E,82,24.1,342
153,T,211031,084338,60.648224N,25.305571E,82,25.4,344
154,T,211031,084339,60.648285N,25.305538E,82,24.6,345
155,T,211031,084340,60.648350N,25.305502E,82,25.7,345
156,T,211031,084341,60.648407N,25.305464E,82,24.8,345
157,T,211031,084342,60.648464N,25.305433E,82,23.8,344
158,T,211031,084343,60.648525N,25.305401E,82,24.4,344
159,T,211031,084344,60.648582N,25.305365E,82,25.5,343
160,T,211031,084345,60.648643N,25.305325E,82,25.1,342
161,T,211031,084346,60.648705N,25.305273E,82,25.6,340
162,T,211031,084347,60.648766N,25.305222E,82,24.3,338
163,T,211031,084348,60.648819N,25.305174E,82,25.1,337
164,T,211031,084349,60.648876N,25.305124E,82,24.8,337
165,T,211031,084350,60.648933N,25.305082E,83,24.2,337
166,T,211031,084351,60.648987N,25.305037E,83,23.2,336
167,T,211031,084352,60.649040N,25.304993E,83,22.5,337
168,T,211031,084353,60.649094N,25.304951E,83,21.8,337
169,T,211031,084354,60.649139N,25.304909E,83,21.0,337
170,T,211031,084355,60.649189N,25.304867E,84,20.5,337
171,T,211031,084356,60.649231N,25.304829E,84,20.2,337
172,T,211031,084357,60.649281N,25.304787E,84,19.8,336
173,T,211031,084358,60.649319N,25.304743E,84,19.0,334
174,T,211031,084359,60.649364N,25.304705E,85,18.6,343
175,T,211031,084400,60.649406N,25.304703E,84,16.7,12
176,T,211031,084401,60.649445N,25.304743E,83,18.6,37
177,T,211031,084402,60.649483N,25.304815E,83,19.3,49
178,T,211031,084403,60.649517N,25.304899E,83,20.8,53
179,T,211031,084404,60.649548N,25.304996E,82,22.1,53
180,T,211031,084405,60.649586N,25.305088E,82,23.7,50
181,T,211031,084406,60.649620N,25.305182E,82,25.3,41
182,T,211031,084407,60.649673N,25.305269E,82,25.8,39
183,T,211031,084408,60.649723N,25.305349E,81,25.8,34
184,T,211031,084409,60.649780N,25.305424E,81,26.0,29
185,T,211031,084410,60.649841N,25.305489E,81,26.5,26
186,T,211031,084411,60.649899N,25.305542E,80,27.2,18
187,T,211031,084412,60.649967N,25.305580E,80,27.3,11
188,T,211031,084413,60.650036N,25.305601E,79,27.9,8
189,T,211031,084414,60.650105N,25.305620E,79,28.3,6
190,T,211031,084415,60.650181N,25.305635E,79,28.7,6
191,T,211031,084416,60.650249N,25.305649E,78,29.3,4
192,T,211031,084417,60.650326N,25.305658E,78,28.9,4
193,T,211031,084418,60.650394N,25.305666E,77,29.0,2
194,T,211031,084419,60.650471N,25.305666E,77,29.1,358
195,T,211031,084420,60.650543N,25.305653E,77,29.1,351
196,T,211031,084421,60.650616N,25.305624E,77,28.2,347
197,T,211031,084422,60.650681N,25.305588E,77,27.1,343
198,T,211031,084423,60.650745N,25.305544E,77,27.0,341
199,T,211031,084424,60.650806N,25.305496E,77,25.6,338
200,T,211031,084425,60.650864N,25.305441E,77,26.3,336
201,T,211031,084426,60.650925N,25.305382E,76,25.2,332
202,T,211031,084427,60.650974N,25.305317E,76,24.9,324
