INDEX,TAG,DATE,TIME,LATITUDE N/S,LONGITUDE E/W,HEIGHT,SPEED,HEADING
100,T,210724,032750,60.186020N,24.803194E,5,8.6,323
101,T,210724,032751,60.186039N,24.803183E,5,9.2,325
102,T,210724,032752,60.186066N,24.803183E,4,10.0,1
103,T,210724,032753,60.186092N,24.803196E,4,13.1,2
104,T,210724,032754,60.186127N,24.803211E,4,14.6,3
105,T,210724,032755,60.186165N,24.803226E,4,15.9,3
106,T,210724,032756,60.186203N,24.803246E,3,15.9,5
107,T,210724,032757,60.186241N,24.803272E,3,17.4,6
108,T,210724,032758,60.186275N,24.803305E,2,17.3,7
109,T,210724,032759,60.186314N,24.803335E,1,17.0,25
110,T,210724,032800,60.186344N,24.803371E,0,16.3,28
111,T,210724,032801,60.186382N,24.803410E,0,17.3,25
112,T,210724,032802,60.186432N,24.803444E,0,19.0,23
113,T,210724,032803,60.186481N,24.803480E,-1,19.9,20
114,T,210724,032804,60.186527N,24.803516E,-2,20.4,19
115,T,210724,032805,60.186588N,24.803543E,-1,21.5,18
116,T,210724,032806,60.186642N,24.803581E,-2,21.4,23
117,T,210724,032807,60.186691N,24.803621E,-2,21.5,20
118,T,210724,032808,60.186741N,24.803656E,-3,18.9,23
119,T,210724,032809,60.186794N,24.803696E,-4,22.7,22
120,T,210724,032810,60.186852N,24.803736E,-4,22.5,21
121,T,210724,032811,60.186913N,24.803772E,-5,22.9,18
122,T,210724,032812,60.186974N,24.803802E,-6,22.0,17
123,T,210724,032813,60.187027N,24.803823E,-7,22.1,15
124,T,210724,032814,60.187092N,24.803846E,-7,20.8,14
125,T,210724,032815,60.187160N,24.803864E,-7,23.8,12
126,T,210724,032816,60.187233N,24.803873E,-6,24.8,11
127,T,210724,032817,60.187298N,24.803883E,-7,23.0,10
128,T,210724,032818,60.187359N,24.803881E,-7,23.8,9
129,T,210724,032819,60.187435N,24.803865E,-6,24.5,358
130,T,210724,032820,60.187515N,24.803841E,-5,27.3,358
131,T,210724,032821,60.187603N,24.803823E,-5,26.4,356
132,T,210724,032822,60.187664N,24.803810E,-5,24.2,356
133,T,210724,032823,60.187721N,24.803802E,-5,24.1,356
134,T,210724,032824,60.187786N,24.803778E,-5,24.4,356
135,T,210724,032825,60.187847N,24.803757E,-5,23.7,355
136,T,210724,032826,60.187923N,24.803747E,-4,24.6,355
137,T,210724,032827,60.187992N,24.803741E,-3,25.4,355
138,T,210724,032828,60.188072N,24.803730E,-2,25.8,355
139,T,210724,032829,60.188148N,24.803719E,-1,26.7,355
140,T,210724,032830,60.188213N,24.803703E,-1,24.3,356
141,T,210724,032831,60.188278N,24.803694E,0,24.0,356
142,T,210724,032832,60.188343N,24.803677E,0,24.1,356
143,T,210724,032833,60.188412N,24.803665E,1,24.2,356
144,T,210724,032834,60.188473N,24.803658E,1,24.3,356
145,T,210724,032835,60.188534N,24.803648E,1,23.2,356
146,T,210724,032836,60.188591N,24.803637E,1,23.4,356
147,T,210724,032837,60.188648N,24.803621E,1,23.4,356
148,T,210724,032838,60.188709N,24.803606E,1,23.8,356
149,T,210724,032839,60.188766N,24.803593E,1,24.4,356
150,T,210724,032840,60.188828N,24.803577E,1,24.5,356
151,T,210724,032841,60.188889N,24.803564E,2,24.0,355
152,T,210724,032842,60.188946N,24.803551E,2,23.3,355
153,T,210724,032843,60.188995N,24.803532E,2,22.8,354
154,T,210724,032844,60.189045N,24.803505E,3,22.0,353
155,T,210724,032845,60.189087N,24.803488E,3,20.7,2
156,T,210724,032846,60.189137N,24.803514E,3,21.4,24
157,T,210724,032847,60.189171N,24.803583E,2,21.5,51
158,T,210724,032848,60.189194N,24.803684E,2,24.9,76
159,T,210724,032849,60.189205N,24.803804E,2,23.4,79
160,T,210724,032850,60.189209N,24.803921E,2,22.8,82
161,T,210724,032851,60.189209N,24.804035E,1,22.5,84
162,T,210724,032852,60.189186N,24.804169E,1,24.0,88
163,T,210724,032853,60.189175N,24.804300E,0,25.5,90
164,T,210724,032854,60.189175N,24.804436E,0,25.5,90
165,T,210724,032855,60.189182N,24.804560E,0,24.8,88
166,T,210724,032856,60.189175N,24.804684E,0,23.5,86
167,T,210724,032857,60.189175N,24.804811E,-1,24.5,86
168,T,210724,032858,60.189175N,24.804934E,-1,23.7,88
169,T,210724,032859,60.189171N,24.805054E,-2,22.5,91
170,T,210724,032900,60.189167N,24.805180E,-2,24.0,87
171,T,210724,032901,60.189163N,24.805304E,-2,23.5,88
172,T,210724,032902,60.189159N,24.805418E,-2,21.5,91
173,T,210724,032903,60.189152N,24.805534E,-3,23.0,92
174,T,210724,032904,60.189148N,24.805643E,-3,20.0,93
175,T,210724,032905,60.189140N,24.805756E,-3,20.6,94
176,T,210724,032906,60.189163N,24.805887E,-1,19.1,79
177,T,210724,032907,60.189167N,24.805988E,-1,19.1,78
178,T,210724,032908,60.189167N,24.806095E,-1,19.7,81
179,T,210724,032909,60.189167N,24.806204E,-2,18.5,85
180,T,210724,032910,60.189167N,24.806309E,-2,19.1,84
181,T,210724,032911,60.189167N,24.806416E,-3,19.6,84
182,T,210724,032912,60.189178N,24.806517E,-3,19.5,83
183,T,210724,032913,60.189186N,24.806618E,-3,19.0,85
184,T,210724,032914,60.189186N,24.806721E,-4,17.1,95
185,T,210724,032915,60.189182N,24.806808E,-4,14.7,107
186,T,210724,032916,60.189171N,24.806881E,-4,13.2,118
187,T,210724,032917,60.189152N,24.806953E,-4,12.0,118
188,T,210724,032918,60.189140N,24.807016E,-5,9.4,116
189,T,210724,032919,60.189140N,24.807076E,-5,10.8,111
190,T,210724,032920,60.189159N,24.807116E,-5,8.1,103
191,T,210724,032921,60.189194N,24.807123E,-5,12.9,344
192,T,210724,032922,60.189240N,24.807102E,-5,17.2,342
193,T,210724,032923,60.189301N,24.807081E,-5,18.7,344
194,T,210724,032924,60.189350N,24.807053E,-5,18.8,344
195,T,210724,032925,60.189400N,24.807030E,-5,19.1,347
196,T,210724,032926,60.189457N,24.807011E,-5,20.5,347
197,T,210724,032927,60.189510N,24.807001E,-5,20.5,348
198,T,210724,032928,60.189568N,24.806992E,-5,21.8,350
199,T,210724,032929,60.189625N,24.806982E,-4,22.1,352
200,T,210724,032930,60.189678N,24.806973E,-4,22.7,353
201,T,210724,032931,60.189735N,24.806957E,-5,22.2,353
202,T,210724,032932,60.189789N,24.806944E,-5,20.8,352
203,T,210724,032933,60.189835N,24.806927E,-5,20.2,351
204,T,210724,032934,60.189888N,24.806915E,-5,20.2,351
205,T,210724,032935,60.189938N,24.806904E,-5,20.1,351
206,T,210724,032936,60.189987N,24.806889E,-6,20.4,352
207,T,210724,032937,60.190044N,24.806871E,-5,22.0,353
208,T,210724,032938,60.190105N,24.806856E,-5,23.2,353
209,T,210724,032939,60.190166N,24.806837E,-5,23.3,353
210,T,210724,032940,60.190228N,24.806828E,-4,22.9,354
211,T,210724,032941,60.190289N,24.806816E,-4,22.2,353
212,T,210724,032942,60.190350N,24.806807E,-4,22.6,353
213,T,210724,032943,60.190403N,24.806795E,-4,22.6,353
214,T,210724,032944,60.190464N,24.806784E,-4,22.2,353
215,T,210724,032945,60.190521N,24.806776E,-5,22.2,353
216,T,210724,032946,60.190578N,24.806755E,-5,23.5,352
217,T,210724,032947,60.190643N,24.806730E,-5,24.1,351
218,T,210724,032948,60.190712N,24.806713E,-4,25.5,351
219,T,210724,032949,60.190777N,24.806698E,-3,25.4,352
220,T,210724,032950,60.190849N,24.806684E,-2,27.0,353
221,T,210724,032951,60.190910N,24.806669E,-2,25.9,354
222,T,210724,032952,60.190979N,24.806654E,-3,26.2,353
223,T,210724,032953,60.191040N,24.806627E,-3,25.4,352
224,T,210724,032954,60.191113N,24.806627E,-3,26.2,352
225,T,210724,032955,60.191177N,24.806606E,-3,25.1,352
226,T,210724,032956,60.191273N,24.806597E,-2,26.6,353
227,T,210724,032957,60.191341N,24.806576E,-2,27.2,353
228,T,210724,032958,60.191414N,24.806561E,-2,28.5,354
229,T,210724,032959,60.191479N,24.806547E,-2,27.7,353
230,T,210724,033000,60.191551N,24.806538E,-2,28.6,354
231,T,210724,033001,60.191620N,24.806522E,-2,29.3,355
232,T,210724,033002,60.191692N,24.806517E,-1,29.4,0
233,T,210724,033003,60.191753N,24.806511E,-1,25.7,1
234,T,210724,033004,60.191807N,24.806507E,-1,25.1,5
235,T,210724,033005,60.191879N,24.806517E,-2,29.3,2
236,T,210724,033006,60.191952N,24.806519E,-2,28.3,358
237,T,210724,033007,60.192017N,24.806507E,-2,26.6,356
238,T,210724,033008,60.192085N,24.806496E,-3,27.2,355
239,T,210724,033009,60.192150N,24.806477E,-3,27.4,356
240,T,210724,033010,60.192223N,24.806461E,-3,28.1,356
241,T,210724,033011,60.192291N,24.806448E,-3,28.0,356
242,T,210724,033012,60.192356N,24.806437E,-3,26.1,356
243,T,210724,033013,60.192417N,24.806423E,-3,26.0,357
244,T,210724,033014,60.192478N,24.806410E,-2,26.7,358
245,T,210724,033015,60.192539N,24.806395E,-1,25.9,358
246,T,210724,033016,60.192600N,24.806377E,-1,23.4,357
247,T,210724,033017,60.192654N,24.806362E,0,22.7,356
248,T,210724,033018,60.192711N,24.806351E,0,24.6,356
249,T,210724,033019,60.192768N,24.806335E,0,24.0,356
250,T,210724,033020,60.192822N,24.806322E,0,22.0,356
251,T,210724,033021,60.192871N,24.806313E,1,22.3,356
252,T,210724,033022,60.192924N,24.806307E,1,22.2,0
253,T,210724,033023,60.192978N,24.806299E,2,20.6,356
254,T,210724,033024,60.193027N,24.806293E,2,20.3,357
255,T,210724,033025,60.193081N,24.806295E,2,20.5,357
256,T,210724,033026,60.193130N,24.806295E,2,21.0,359
257,T,210724,033027,60.193184N,24.806292E,3,19.7,1
258,T,210724,033028,60.193237N,24.806286E,3,19.8,1
259,T,210724,033029,60.193283N,24.806286E,3,19.4,0
260,T,210724,033030,60.193333N,24.806286E,3,19.5,0
261,T,210724,033031,60.193378N,24.806284E,3,18.3,356
262,T,210724,033032,60.193432N,24.806276E,3,18.9,357
263,T,210724,033033,60.193478N,24.806273E,3,18.9,358
264,T,210724,033034,60.193527N,24.806267E,3,21.0,358
265,T,210724,033035,60.193581N,24.806261E,3,19.7,0
266,T,210724,033036,60.193630N,24.806261E,4,20.1,2
267,T,210724,033037,60.193680N,24.806267E,4,17.9,3
268,T,210724,033038,60.193729N,24.806271E,4,18.2,3
269,T,210724,033039,60.193775N,24.806271E,4,20.1,2
270,T,210724,033040,60.193829N,24.806265E,4,20.1,357
271,T,210724,033041,60.193874N,24.806257E,4,19.2,358
272,T,210724,033042,60.193928N,24.806252E,5,20.2,358
273,T,210724,033043,60.193981N,24.806248E,5,21.2,1
274,T,210724,033044,60.194031N,24.806253E,5,20.9,2
275,T,210724,033045,60.194088N,24.806252E,5,20.5,1
276,T,210724,033046,60.194138N,24.806253E,5,20.2,1
277,T,210724,033047,60.194187N,24.806252E,6,20.1,0
278,T,210724,033048,60.194237N,24.806246E,6,19.7,359
279,T,210724,033049,60.194283N,24.806246E,6,19.8,2
280,T,210724,033050,60.194336N,24.806250E,6,20.1,3
281,T,210724,033051,60.194386N,24.806257E,6,20.8,4
282,T,210724,033052,60.194435N,24.806269E,6,20.9,5
283,T,210724,033053,60.194489N,24.806274E,6,20.8,4
284,T,210724,033054,60.194538N,24.806280E,6,21.9,4
285,T,210724,033055,60.194592N,24.806284E,6,18.7,4
286,T,210724,033056,60.194641N,24.806293E,6,19.4,3
287,T,210724,033057,60.194687N,24.806297E,6,19.1,3
288,T,210724,033058,60.194740N,24.806305E,7,20.8,3
289,T,210724,033059,60.194794N,24.806305E,7,20.4,3
290,T,210724,033100,60.194839N,24.806301E,7,20.5,2
