INDEX,TAG,DATE,TIME,LATITUDE N/S,LONGITUDE E/W,HEIGHT,SPEED,HEADING
8,T,211028,092706,60.119038N,24.439659E,18,3.6,145
9,T,211028,092707,60.119034N,24.439667E,18,3.7,154
10,T,211028,092708,60.119019N,24.439672E,17,4.0,154
11,T,211028,092709,60.119011N,24.439676E,17,0.0,154
12,T,211028,092710,60.119007N,24.439680E,16,0.0,154
13,T,211028,092711,60.119003N,24.439682E,16,0.0,154
14,T,211028,092712,60.118992N,24.439684E,15,4.1,176
15,T,211028,092713,60.118977N,24.439684E,15,6.9,178
16,T,211028,092714,60.118958N,24.439688E,14,9.1,170
17,T,211028,092715,60.118927N,24.439688E,14,10.8,184
18,T,211028,092716,60.118908N,24.439671E,13,9.8,227
19,T,211028,092717,60.118900N,24.439625E,12,10.5,265
20,T,211028,092718,60.118900N,24.439562E,12,14.2,271
21,T,211028,092719,60.118900N,24.439484E,12,16.0,272
22,T,211028,092720,60.118904N,24.439398E,11,17.6,273
23,T,211028,092721,60.118904N,24.439302E,11,18.6,273
24,T,211028,092722,60.118912N,24.439203E,11,19.5,274
25,T,211028,092723,60.118912N,24.439104E,11,20.2,274
26,T,211028,092724,60.118916N,24.439005E,10,20.5,272
27,T,211028,092725,60.118919N,24.438898E,9,20.4,271
28,T,211028,092726,60.118919N,24.438791E,10,21.4,273
29,T,211028,092727,60.118927N,24.438683E,10,21.5,274
30,T,211028,092728,60.118927N,24.438574E,9,21.9,274
31,T,211028,092729,60.118935N,24.438461E,9,22.3,275
32,T,211028,092730,60.118938N,24.438351E,9,22.4,274
33,T,211028,092731,60.118938N,24.438240E,8,22.1,274
34,T,211028,092732,60.118942N,24.438128E,8,22.2,273
35,T,211028,092733,60.118942N,24.438019E,8,22.6,272
36,T,211028,092734,60.118950N,24.437904E,7,22.1,272
37,T,211028,092735,60.118954N,24.437796E,7,22.2,273
38,T,211028,092736,60.118958N,24.437683E,7,22.2,273
39,T,211028,092737,60.118961N,24.437569E,7,22.7,274
40,T,211028,092738,60.118965N,24.437454E,6,23.0,274
41,T,211028,092739,60.118973N,24.437336E,6,23.3,275
42,T,211028,092740,60.118980N,24.437220E,6,23.0,275
43,T,211028,092741,60.118980N,24.437103E,6,23.1,275
44,T,211028,092742,60.118988N,24.436983E,6,23.2,274
45,T,211028,092743,60.118992N,24.436865E,5,24.3,274
46,T,211028,092744,60.118996N,24.436747E,5,23.5,274
47,T,211028,092745,60.118999N,24.436628E,6,23.5,273
48,T,211028,092746,60.118999N,24.436508E,6,23.6,273
49,T,211028,092747,60.119003N,24.436388E,6,24.1,272
50,T,211028,092748,60.119007N,24.436266E,5,24.2,273
51,T,211028,092749,60.119015N,24.436144E,5,24.2,274
52,T,211028,092750,60.119019N,24.436022E,5,24.9,274
53,T,211028,092751,60.119022N,24.435898E,5,24.8,274
54,T,211028,092752,60.119026N,24.435774E,4,24.7,274
55,T,211028,092753,60.119034N,24.435650E,4,24.8,273
56,T,211028,092754,60.119038N,24.435524E,4,24.8,273
57,T,211028,092755,60.119041N,24.435398E,4,24.8,274
58,T,211028,092756,60.119049N,24.435274E,4,24.9,273
59,T,211028,092757,60.119049N,24.435148E,4,24.9,273
60,T,211028,092758,60.119053N,24.435024E,4,25.9,274
61,T,211028,092759,60.119057N,24.434896E,4,25.2,274
62,T,211028,092800,60.119061N,24.434765E,4,25.2,274
63,T,211028,092801,60.119064N,24.434635E,4,25.3,275
64,T,211028,092802,60.119072N,24.434507E,4,25.2,275
65,T,211028,092803,60.119076N,24.434383E,3,25.3,274
66,T,211028,092804,60.119080N,24.434256E,3,25.2,272
67,T,211028,092805,60.119072N,24.434134E,2,24.8,262
68,T,211028,092806,60.119061N,24.434015E,2,24.2,250
69,T,211028,092807,60.119034N,24.433907E,2,24.2,240
70,T,211028,092808,60.118999N,24.433807E,2,24.5,231
71,T,211028,092809,60.118961N,24.433716E,2,25.2,228
72,T,211028,092810,60.118916N,24.433624E,2,25.1,228
73,T,211028,092811,60.118877N,24.433533E,2,25.5,226
74,T,211028,092812,60.118828N,24.433441E,2,26.7,222
75,T,211028,092813,60.118778N,24.433350E,2,26.0,225
76,T,211028,092814,60.118740N,24.433256E,3,25.4,228
77,T,211028,092815,60.118698N,24.433161E,3,25.3,229
78,T,211028,092816,60.118660N,24.433062E,3,25.7,230
79,T,211028,092817,60.118622N,24.432964E,3,25.7,229
80,T,211028,092818,60.118576N,24.432867E,3,25.7,230
81,T,211028,092819,60.118538N,24.432774E,3,24.9,229
82,T,211028,092820,60.118496N,24.432680E,3,24.9,228
83,T,211028,092821,60.118458N,24.432585E,3,24.8,229
84,T,211028,092822,60.118412N,24.432491E,3,24.9,229
85,T,211028,092823,60.118366N,24.432396E,3,26.2,229
86,T,211028,092824,60.118328N,24.432297E,3,25.4,229
87,T,211028,092825,60.118282N,24.432198E,3,25.3,229
88,T,211028,092826,60.118248N,24.432100E,3,25.0,229
89,T,211028,092827,60.118210N,24.432005E,3,24.5,230
90,T,211028,092828,60.118168N,24.431908E,3,25.1,229
91,T,211028,092829,60.118130N,24.431807E,3,25.1,229
92,T,211028,092830,60.118088N,24.431709E,3,24.8,229
93,T,211028,092831,60.118050N,24.431616E,3,24.8,228
94,T,211028,092832,60.118008N,24.431520E,3,24.9,228
95,T,211028,092833,60.117970N,24.431425E,4,23.8,228
96,T,211028,092834,60.117928N,24.431335E,4,23.9,228
97,T,211028,092835,60.117889N,24.431246E,4,23.2,229
98,T,211028,092836,60.117851N,24.431156E,4,23.0,231
99,T,211028,092837,60.117821N,24.431061E,5,22.6,239
100,T,211028,092838,60.117790N,24.430962E,4,22.5,244
101,T,211028,092839,60.117771N,24.430861E,5,21.6,253
102,T,211028,092840,60.117760N,24.430756E,6,20.6,262
103,T,211028,092841,60.117752N,24.430656E,6,20.6,266
104,T,211028,092842,60.117752N,24.430553E,5,20.0,270
105,T,211028,092843,60.117748N,24.430454E,5,19.9,268
106,T,211028,092844,60.117748N,24.430353E,5,19.6,268
107,T,211028,092845,60.117748N,24.430256E,6,19.6,268
108,T,211028,092846,60.117748N,24.430159E,6,19.5,269
109,T,211028,092847,60.117752N,24.430061E,6,18.8,269
110,T,211028,092848,60.117748N,24.429966E,7,18.8,269
111,T,211028,092849,60.117748N,24.429873E,7,18.9,269
112,T,211028,092850,60.117752N,24.429777E,7,18.5,269
113,T,211028,092851,60.117748N,24.429684E,7,18.6,269
114,T,211028,092852,60.117748N,24.429590E,7,18.6,269
115,T,211028,092853,60.117748N,24.429497E,7,18.6,268
116,T,211028,092854,60.117748N,24.429403E,7,18.6,268
117,T,211028,092855,60.117744N,24.429308E,8,18.5,268
118,T,211028,092856,60.117748N,24.429216E,8,18.5,269
119,T,211028,092857,60.117748N,24.429125E,8,18.5,269
120,T,211028,092858,60.117748N,24.429031E,8,18.5,269
121,T,211028,092859,60.117748N,24.428936E,8,19.4,270
122,T,211028,092900,60.117752N,24.428846E,9,18.7,269
123,T,211028,092901,60.117752N,24.428759E,8,18.6,267
124,T,211028,092902,60.117744N,24.428667E,9,18.2,256
125,T,211028,092903,60.117729N,24.428583E,9,17.9,245
126,T,211028,092904,60.117699N,24.428509E,9,18.0,230
127,T,211028,092905,60.117672N,24.428446E,9,17.6,219
128,T,211028,092906,60.117626N,24.428402E,9,17.8,203
129,T,211028,092907,60.117580N,24.428375E,9,17.8,193
130,T,211028,092908,60.117531N,24.428364E,8,18.9,185
131,T,211028,092909,60.117481N,24.428358E,9,19.6,184
132,T,211028,092910,60.117424N,24.428356E,9,20.2,182
133,T,211028,092911,60.117371N,24.428349E,9,20.3,188
134,T,211028,092912,60.117321N,24.428331E,9,20.1,192
135,T,211028,092913,60.117271N,24.428310E,9,20.2,191
136,T,211028,092914,60.117222N,24.428289E,9,19.9,190
137,T,211028,092915,60.117172N,24.428276E,10,19.9,188
138,T,211028,092916,60.117119N,24.428268E,10,19.9,185
139,T,211028,092917,60.117073N,24.428265E,9,19.9,178
140,T,211028,092918,60.117020N,24.428272E,10,19.9,175
141,T,211028,092919,60.116966N,24.428278E,10,20.0,176
142,T,211028,092920,60.116920N,24.428284E,10,20.0,175
143,T,211028,092921,60.116867N,24.428291E,10,20.9,177
144,T,211028,092922,60.116817N,24.428299E,10,20.6,176
145,T,211028,092923,60.116764N,24.428305E,10,21.4,178
146,T,211028,092924,60.116711N,24.428308E,11,20.6,177
147,T,211028,092925,60.116657N,24.428312E,11,20.5,178
148,T,211028,092926,60.116604N,24.428316E,12,20.5,177
149,T,211028,092927,60.116550N,24.428320E,12,19.8,177
150,T,211028,092928,60.116505N,24.428324E,12,19.4,176
151,T,211028,092929,60.116459N,24.428324E,13,17.9,184
152,T,211028,092930,60.116421N,24.428284E,12,17.8,224
153,T,211028,092931,60.116402N,24.428204E,12,17.4,256
154,T,211028,092932,60.116402N,24.428108E,13,19.5,278
155,T,211028,092933,60.116409N,24.428003E,12,22.7,280
156,T,211028,092934,60.116421N,24.427885E,12,23.6,280
157,T,211028,092935,60.116417N,24.427761E,12,25.9,278
158,T,211028,092936,60.116409N,24.427629E,12,26.3,276
159,T,211028,092937,60.116398N,24.427504E,12,26.2,274
160,T,211028,092938,60.116379N,24.427385E,12,23.7,272
161,T,211028,092939,60.116364N,24.427279E,12,21.8,270
162,T,211028,092940,60.116348N,24.427176E,13,20.6,268
163,T,211028,092941,60.116329N,24.427084E,12,20.5,266
164,T,211028,092942,60.116310N,24.426987E,13,19.8,264
