INDEX,TAG,DATE,TIME,LATITUDE N/S,LONGITUDE E/W,HEIGHT,SPEED,HEADING
171,T,260601,052253,60.393341N,25.665045E,3,7.2,23
172,T,260601,052254,60.393364N,25.665056E,3,10.6,22
173,T,260601,052255,60.393394N,25.665068E,3,13.9,359
174,T,260601,052256,60.393433N,25.665064E,3,16.1,357
175,T,260601,052257,60.393467N,25.665049E,3,14.7,356
176,T,260601,052258,60.393505N,25.665028E,3,16.7,354
177,T,260601,052259,60.393543N,25.665009E,3,15.8,353
178,T,260601,052300,60.393581N,25.664989E,3,14.0,352
179,T,260601,052301,60.393608N,25.664986E,3,11.7,6
180,T,260601,052302,60.393639N,25.665031E,2,13.9,10
181,T,260601,052303,60.393661N,25.665096E,2,15.0,15
182,T,260601,052304,60.393681N,25.665167E,2,15.7,20
183,T,260601,052305,60.393696N,25.665243E,2,15.7,25
184,T,260601,052306,60.393711N,25.665319E,2,15.7,30
185,T,260601,052307,60.393723N,25.665398E,2,15.8,34
186,T,260601,052308,60.393742N,25.665476E,2,16.6,38
187,T,260601,052309,60.393757N,25.665556E,1,17.3,42
188,T,260601,052310,60.393780N,25.665628E,2,17.3,45
189,T,260601,052311,60.393822N,25.665697E,5,18.2,47
190,T,260601,052312,60.393841N,25.665777E,5,17.1,50
191,T,260601,052313,60.393856N,25.665865E,5,18.0,52
192,T,260601,052314,60.393879N,25.665945E,7,17.6,54
193,T,260601,052315,60.393906N,25.666033E,7,18.7,56
194,T,260601,052316,60.393925N,25.666119E,7,19.1,57
195,T,260601,052317,60.393944N,25.666208E,7,19.0,67
196,T,260601,052318,60.393963N,25.666302E,7,18.2,71
197,T,260601,052319,60.393978N,25.666389E,8,18.5,70
198,T,260601,052320,60.394001N,25.666470E,8,17.2,69
199,T,260601,052321,60.394024N,25.666550E,8,18.6,68
200,T,260601,052322,60.394047N,25.666634E,8,20.2,67
201,T,260601,052323,60.394077N,25.666716E,8,18.4,66
202,T,260601,052324,60.394100N,25.666801E,9,19.6,64
203,T,260601,052325,60.394119N,25.666897E,9,19.6,64
204,T,260601,052326,60.394138N,25.666996E,10,16.8,64
205,T,260601,052327,60.394161N,25.667076E,10,15.0,64
206,T,260601,052328,60.394173N,25.667145E,10,14.1,66
207,T,260601,052329,60.394184N,25.667210E,10,14.2,67
208,T,260601,052330,60.394207N,25.667276E,11,14.2,66
209,T,260601,052331,60.394218N,25.667349E,11,14.1,66
210,T,260601,052332,60.394238N,25.667418E,12,13.8,65
211,T,260601,052333,60.394249N,25.667482E,12,13.2,65
212,T,260601,052334,60.394268N,25.667543E,12,13.7,65
213,T,260601,052335,60.394279N,25.667610E,13,13.8,66
214,T,260601,052336,60.394295N,25.667683E,13,13.9,67
215,T,260601,052337,60.394314N,25.667751E,13,15.2,61
216,T,260601,052338,60.394329N,25.667818E,13,13.9,65
217,T,260601,052339,60.394341N,25.667883E,13,14.0,64
218,T,260601,052340,60.394356N,25.667944E,13,13.8,65
219,T,260601,052341,60.394367N,25.668011E,13,13.7,67
220,T,260601,052342,60.394379N,25.668074E,14,13.3,68
221,T,260601,052343,60.394398N,25.668133E,14,13.3,61
222,T,260601,052344,60.394417N,25.668184E,15,12.6,54
223,T,260601,052345,60.394440N,25.668228E,14,12.5,41
224,T,260601,052346,60.394466N,25.668261E,14,13.6,19
225,T,260601,052347,60.394501N,25.668268E,15,15.5,355
226,T,260601,052348,60.394535N,25.668257E,15,14.9,341
227,T,260601,052349,60.394573N,25.668224E,15,16.4,332
228,T,260601,052350,60.394608N,25.668190E,15,16.8,332
229,T,260601,052351,60.394650N,25.668152E,15,17.7,333
230,T,260601,052352,60.394688N,25.668110E,15,18.9,333
231,T,260601,052353,60.394730N,25.668066E,14,19.7,335
232,T,260601,052354,60.394775N,25.668020E,14,21.5,333
233,T,260601,052355,60.394829N,25.667969E,13,23.1,334
234,T,260601,052356,60.394878N,25.667915E,13,24.5,334
235,T,260601,052357,60.394924N,25.667850E,12,22.7,329
236,T,260601,052358,60.394974N,25.667778E,12,26.2,330
237,T,260601,052359,60.395023N,25.667727E,11,24.7,330
238,T,260601,052400,60.395077N,25.667671E,12,23.7,333
239,T,260601,052401,60.395126N,25.667624E,11,20.2,334
240,T,260601,052402,60.395180N,25.667576E,12,21.4,341
241,T,260601,052403,60.395229N,25.667543E,13,18.8,345
242,T,260601,052404,60.395275N,25.667513E,14,19.6,345
243,T,260601,052405,60.395321N,25.667484E,14,18.3,344
244,T,260601,052406,60.395359N,25.667452E,15,16.7,343
245,T,260601,052407,60.395393N,25.667418E,15,14.8,342
