INDEX,TAG,DATE,TIME,LATITUDE N/S,LONGITUDE E/W,HEIGHT,SPEED,HEADING
69,T,260731,035515,60.185036N,24.805624E,77,4.0,16
70,T,260731,035516,60.185036N,24.805649E,77,4.9,23
71,T,260731,035517,60.185040N,24.805668E,77,5.2,29
72,T,260731,035518,60.185040N,24.805719E,77,7.3,35
73,T,260731,035519,60.184994N,24.805771E,70,11.7,78
74,T,260731,035520,60.184967N,24.805824E,65,12.7,57
75,T,260731,035521,60.184963N,24.805862E,60,13.1,29
76,T,260731,035522,60.184975N,24.805883E,57,14.2,0
77,T,260731,035523,60.185001N,24.805878E,55,14.8,347
78,T,260731,035524,60.185020N,24.805859E,53,14.1,337
79,T,260731,035525,60.185047N,24.805824E,52,15.4,326
80,T,260731,035526,60.185062N,24.805767E,52,16.8,302
81,T,260731,035527,60.185089N,24.805695E,51,18.8,302
82,T,260731,035528,60.185112N,24.805614E,51,19.6,303
83,T,260731,035529,60.185139N,24.805536E,51,19.0,304
84,T,260731,035530,60.185169N,24.805458E,51,18.5,306
85,T,260731,035531,60.185192N,24.805376E,50,18.4,304
86,T,260731,035532,60.185196N,24.805300E,50,16.6,298
87,T,260731,035533,60.185204N,24.805239E,50,13.9,301
88,T,260731,035534,60.185143N,24.805204E,49,4.4,301
89,T,260731,035535,60.185123N,24.805183E,48,0.0,301
90,T,260731,035536,60.185120N,24.805182E,47,0.0,301
91,T,260731,035537,60.185135N,24.805166E,47,15.0,305
92,T,260731,035538,60.185158N,24.805140E,46,17.7,306
93,T,260731,035539,60.185192N,24.805117E,45,17.2,309
94,T,260731,035540,60.185230N,24.805054E,45,18.1,333
95,T,260731,035541,60.185261N,24.805002E,44,14.9,329
96,T,260731,035542,60.185295N,24.804956E,43,16.3,330
97,T,260731,035543,60.185337N,24.804911E,43,18.2,330
98,T,260731,035544,60.185375N,24.804853E,43,17.6,329
99,T,260731,035545,60.185410N,24.804800E,42,18.6,332
100,T,260731,035546,60.185440N,24.804764E,42,18.1,348
101,T,260731,035547,60.185463N,24.804766E,41,16.1,9
102,T,260731,035548,60.185497N,24.804796E,40,17.4,22
103,T,260731,035549,60.185528N,24.804846E,39,17.5,43
104,T,260731,035550,60.185547N,24.804916E,38,16.6,60
105,T,260731,035551,60.185562N,24.804991E,38,15.0,66
106,T,260731,035552,60.185577N,24.805050E,37,13.2,64
107,T,260731,035553,60.185600N,24.805094E,36,12.1,61
108,T,260731,035554,60.185623N,24.805111E,35,11.7,56
109,T,260731,035555,60.185650N,24.805111E,34,11.6,359
110,T,260731,035556,60.185673N,24.805103E,34,12.2,359
111,T,260731,035557,60.185711N,24.805094E,33,15.0,357
112,T,260731,035558,60.185741N,24.805099E,32,13.8,355
113,T,260731,035559,60.185768N,24.805098E,32,12.7,357
114,T,260731,035600,60.185795N,24.805088E,32,14.9,358
115,T,260731,035601,60.185829N,24.805084E,32,15.2,357
116,T,260731,035602,60.185852N,24.805079E,31,13.5,5
117,T,260731,035603,60.185875N,24.805073E,31,12.4,356
118,T,260731,035604,60.185913N,24.805063E,31,14.0,0
119,T,260731,035605,60.185959N,24.805063E,30,15.6,1
120,T,260731,035606,60.185993N,24.805124E,31,18.6,2
121,T,260731,035607,60.186054N,24.805063E,31,21.0,355
122,T,260731,035608,60.186115N,24.805038E,30,18.7,354
123,T,260731,035609,60.186172N,24.805019E,29,19.2,357
124,T,260731,035610,60.186218N,24.805014E,29,17.1,0
125,T,260731,035611,60.186268N,24.805006E,29,16.0,357
126,T,260731,035612,60.186317N,24.805002E,28,18.0,357
127,T,260731,035613,60.186363N,24.804991E,28,18.8,354
128,T,260731,035614,60.186409N,24.804979E,27,16.9,353
129,T,260731,035615,60.186462N,24.804970E,27,17.5,353
130,T,260731,035616,60.186508N,24.804955E,25,17.2,355
131,T,260731,035617,60.186558N,24.804962E,25,17.3,16
132,T,260731,035618,60.186592N,24.805006E,24,18.4,45
133,T,260731,035619,60.186592N,24.805040E,8,21.6,69
134,T,260731,035620,60.186604N,24.805147E,7,22.4,78
135,T,260731,035621,60.186611N,24.805256E,7,21.1,82
136,T,260731,035622,60.186619N,24.805363E,7,21.6,83
137,T,260731,035623,60.186630N,24.805487E,9,21.9,85
138,T,260731,035624,60.186630N,24.805597E,9,22.4,87
139,T,260731,035625,60.186638N,24.805706E,8,21.6,86
140,T,260731,035626,60.186642N,24.805815E,8,21.5,85
141,T,260731,035627,60.186642N,24.805925E,8,21.2,85
142,T,260731,035628,60.186649N,24.806028E,8,20.6,82
143,T,260731,035629,60.186661N,24.806118E,7,20.0,73
144,T,260731,035630,60.186676N,24.806198E,7,19.5,57
145,T,260731,035631,60.186707N,24.806267E,6,19.8,43
146,T,260731,035632,60.186741N,24.806330E,6,19.1,44
147,T,260731,035633,60.186768N,24.806404E,5,20.9,60
148,T,260731,035634,60.186779N,24.806499E,5,20.3,79
149,T,260731,035635,60.186783N,24.806599E,5,20.0,83
150,T,260731,035636,60.186790N,24.806698E,5,19.4,84
151,T,260731,035637,60.186798N,24.806799E,5,19.7,75
152,T,260731,035638,60.186810N,24.806896E,5,19.8,76
153,T,260731,035639,60.186817N,24.806995E,5,19.9,77
154,T,260731,035640,60.186821N,24.807096E,5,20.0,78
155,T,260731,035641,60.186829N,24.807194E,5,19.9,78
156,T,260731,035642,60.186832N,24.807297E,5,19.9,81
157,T,260731,035643,60.186840N,24.807396E,5,20.0,82
158,T,260731,035644,60.186844N,24.807501E,5,21.0,88
159,T,260731,035645,60.186844N,24.807600E,5,19.3,88
160,T,260731,035646,60.186848N,24.807692E,5,18.7,88
161,T,260731,035647,60.186844N,24.807777E,4,17.0,87
162,T,260731,035648,60.186844N,24.807856E,4,15.2,87
163,T,260731,035649,60.186848N,24.807924E,4,13.2,88
164,T,260731,035650,60.186848N,24.807983E,4,11.1,86
165,T,260731,035651,60.186848N,24.808039E,5,9.7,86
166,T,260731,035652,60.186848N,24.808084E,5,7.6,77
167,T,260731,035653,60.186844N,24.808132E,5,7.7,59
168,T,260731,035654,60.186859N,24.808168E,5,10.7,36
169,T,260731,035655,60.186878N,24.808195E,4,12.7,27
170,T,260731,035656,60.186909N,24.808226E,4,12.8,29
171,T,260731,035657,60.186939N,24.808260E,4,17.1,27
172,T,260731,035658,60.186981N,24.808300E,3,20.2,25
173,T,260731,035659,60.187027N,24.808336E,3,20.6,17
