INDEX,TAG,DATE,TIME,LATITUDE N/S,LONGITUDE E/W,HEIGHT,SPEED,HEADING
58,T,260911,052231,60.800884N,25.496395E,93,6.9,25
59,T,260911,052232,60.800900N,25.496410E,93,5.9,19
60,T,260911,052233,60.800911N,25.496418E,93,4.9,20
61,T,260911,052234,60.800922N,25.496424E,93,5.0,19
62,T,260911,052235,60.800941N,25.496435E,93,8.9,19
63,T,260911,052236,60.800968N,25.496460E,93,11.9,20
64,T,260911,052237,60.800995N,25.496494E,93,15.0,21
65,T,260911,052238,60.801033N,25.496527E,93,15.0,21
66,T,260911,052239,60.801067N,25.496559E,93,16.1,22
67,T,260911,052240,60.801109N,25.496593E,93,16.6,24
68,T,260911,052241,60.801144N,25.496628E,93,16.7,24
69,T,260911,052242,60.801182N,25.496664E,93,17.0,25
70,T,260911,052243,60.801220N,25.496706E,93,17.5,26
71,T,260911,052244,60.801262N,25.496744E,93,17.5,25
72,T,260911,052245,60.801300N,25.496782E,93,17.1,25
73,T,260911,052246,60.801334N,25.496826E,93,16.6,37
74,T,260911,052247,60.801361N,25.496897E,93,16.6,66
75,T,260911,052248,60.801365N,25.496979E,93,17.1,102
76,T,260911,052249,60.801346N,25.497055E,92,17.7,132
77,T,260911,052250,60.801308N,25.497107E,92,18.3,155
78,T,260911,052251,60.801262N,25.497133E,92,18.8,171
79,T,260911,052252,60.801212N,25.497135E,92,18.8,184
80,T,260911,052253,60.801163N,25.497116E,92,19.0,198
81,T,260911,052254,60.801121N,25.497078E,92,20.0,205
82,T,260911,052255,60.801071N,25.497028E,92,20.6,208
83,T,260911,052256,60.801029N,25.496977E,92,20.9,208
84,T,260911,052257,60.800980N,25.496923E,92,21.2,208
85,T,260911,052258,60.800934N,25.496872E,92,21.3,206
86,T,260911,052259,60.800884N,25.496824E,92,21.2,205
87,T,260911,052300,60.800835N,25.496777E,93,20.8,205
88,T,260911,052301,60.800793N,25.496729E,93,19.9,204
89,T,260911,052302,60.800743N,25.496683E,93,19.1,204
90,T,260911,052303,60.800701N,25.496643E,93,18.6,204
91,T,260911,052304,60.800655N,25.496595E,94,18.0,204
92,T,260911,052305,60.800613N,25.496555E,94,17.9,204
93,T,260911,052306,60.800571N,25.496519E,94,17.5,203
94,T,260911,052307,60.800533N,25.496485E,95,17.2,203
95,T,260911,052308,60.800491N,25.496450E,95,17.1,202
96,T,260911,052309,60.800453N,25.496416E,95,16.8,201
97,T,260911,052310,60.800411N,25.496384E,95,16.7,202
98,T,260911,052311,60.800377N,25.496349E,95,16.6,202
99,T,260911,052312,60.800335N,25.496317E,96,16.5,202
100,T,260911,052313,60.800301N,25.496284E,96,16.5,203
101,T,260911,052314,60.800259N,25.496246E,96,16.5,204
102,T,260911,052315,60.800224N,25.496206E,96,16.4,206
103,T,260911,052316,60.800194N,25.496166E,97,16.3,208
104,T,260911,052317,60.800156N,25.496124E,97,16.0,209
105,T,260911,052318,60.800121N,25.496082E,97,16.0,210
106,T,260911,052319,60.800083N,25.496040E,97,16.0,210
107,T,260911,052320,60.800049N,25.495998E,98,15.9,210
108,T,260911,052321,60.800014N,25.495956E,98,15.9,211
109,T,260911,052322,60.799980N,25.495916E,98,15.9,210
110,T,260911,052323,60.799950N,25.495876E,98,15.8,209
111,T,260911,052324,60.799911N,25.495836E,99,15.7,208
112,T,260911,052325,60.799881N,25.495796E,99,15.6,209
113,T,260911,052326,60.799847N,25.495756E,99,15.5,209
114,T,260911,052327,60.799812N,25.495716E,99,15.2,210
115,T,260911,052328,60.799782N,25.495676E,99,14.9,210
116,T,260911,052329,60.799747N,25.495638E,100,14.8,210
117,T,260911,052330,60.799721N,25.495596E,100,14.8,217
118,T,260911,052331,60.799690N,25.495544E,100,14.7,229
119,T,260911,052332,60.799671N,25.495480E,100,15.1,249
120,T,260911,052333,60.799667N,25.495403E,100,15.2,269
121,T,260911,052334,60.799667N,25.495317E,100,16.6,273
122,T,260911,052335,60.799671N,25.495226E,100,17.5,273
123,T,260911,052336,60.799679N,25.495136E,100,17.6,276
124,T,260911,052337,60.799683N,25.495049E,100,16.6,276
125,T,260911,052338,60.799686N,25.494961E,100,17.4,274
126,T,260911,052339,60.799690N,25.494871E,100,16.9,275
127,T,260911,052340,60.799702N,25.494783E,100,16.2,276
128,T,260911,052341,60.799706N,25.494699E,100,16.2,277
129,T,260911,052342,60.799713N,25.494616E,100,15.7,277
130,T,260911,052343,60.799721N,25.494537E,101,14.6,279
131,T,260911,052344,60.799728N,25.494467E,101,13.8,276
132,T,260911,052345,60.799728N,25.494396E,101,13.4,264
133,T,260911,052346,60.799725N,25.494324E,101,13.5,256
134,T,260911,052347,60.799713N,25.494255E,101,13.8,250
135,T,260911,052348,60.799702N,25.494190E,101,13.7,243
136,T,260911,052349,60.799679N,25.494131E,101,12.2,228
137,T,260911,052350,60.799660N,25.494093E,102,9.1,211
138,T,260911,052351,60.799644N,25.494078E,102,6.3,182
139,T,260911,052352,60.799629N,25.494085E,101,7.4,146
