INDEX,TAG,DATE,TIME,LATITUDE N/S,LONGITUDE E/W,HEIGHT,SPEED,HEADING
36,T,260826,085156,60.393242N,25.664721E,7,5.0,88
37,T,260826,085157,60.393242N,25.664757E,7,8.6,90
38,T,260826,085158,60.393242N,25.664803E,7,10.0,85
39,T,260826,085159,60.393242N,25.664854E,7,10.3,86
40,T,260826,085200,60.393234N,25.664906E,7,11.0,87
41,T,260826,085201,60.393230N,25.664965E,7,11.0,88
42,T,260826,085202,60.393234N,25.665018E,7,11.3,87
43,T,260826,085203,60.393242N,25.665075E,7,11.3,88
44,T,260826,085204,60.393230N,25.665127E,6,10.6,90
45,T,260826,085205,60.393215N,25.665167E,6,11.7,93
46,T,260826,085206,60.393185N,25.665195E,6,13.7,97
47,T,260826,085207,60.393150N,25.665224E,7,14.2,102
48,T,260826,085208,60.393124N,25.665257E,7,13.8,107
49,T,260826,085209,60.393093N,25.665295E,7,13.7,144
50,T,260826,085210,60.393066N,25.665335E,7,12.9,145
51,T,260826,085211,60.393040N,25.665371E,7,14.7,145
52,T,260826,085212,60.393005N,25.665403E,7,14.7,146
53,T,260826,085213,60.392971N,25.665436E,7,15.1,147
54,T,260826,085214,60.392941N,25.665464E,7,14.7,148
55,T,260826,085215,60.392902N,25.665497E,7,14.7,150
56,T,260826,085216,60.392872N,25.665529E,7,14.2,151
57,T,260826,085217,60.392845N,25.665562E,7,13.4,151
58,T,260826,085218,60.392815N,25.665594E,7,11.9,152
59,T,260826,085219,60.392788N,25.665623E,7,12.4,153
60,T,260826,085220,60.392761N,25.665649E,7,12.3,153
61,T,260826,085221,60.392735N,25.665674E,7,12.0,154
62,T,260826,085222,60.392708N,25.665693E,7,11.2,156
63,T,260826,085223,60.392685N,25.665716E,6,11.6,157
64,T,260826,085224,60.392658N,25.665731E,6,11.6,159
65,T,260826,085225,60.392632N,25.665756E,6,11.2,155
66,T,260826,085226,60.392612N,25.665783E,6,8.8,146
67,T,260826,085227,60.392597N,25.665812E,6,7.9,138
68,T,260826,085228,60.392586N,25.665838E,6,6.5,120
69,T,260826,085229,60.392578N,25.665874E,6,7.2,102
70,T,260826,085230,60.392570N,25.665916E,6,9.5,103
71,T,260826,085231,60.392567N,25.665974E,6,13.9,100
72,T,260826,085232,60.392563N,25.666048E,5,15.8,90
73,T,260826,085233,60.392567N,25.666134E,5,18.2,76
74,T,260826,085234,60.392578N,25.666218E,5,16.4,70
75,T,260826,085235,60.392597N,25.666296E,5,17.0,67
76,T,260826,085236,60.392612N,25.666378E,5,17.4,65
77,T,260826,085237,60.392628N,25.666460E,4,17.3,68
78,T,260826,085238,60.392643N,25.666544E,4,17.9,68
79,T,260826,085239,60.392666N,25.666624E,3,17.8,67
80,T,260826,085240,60.392681N,25.666710E,3,17.9,67
81,T,260826,085241,60.392700N,25.666796E,3,18.0,66
82,T,260826,085242,60.392719N,25.666882E,3,18.3,66
83,T,260826,085243,60.392738N,25.666969E,3,18.4,66
84,T,260826,085244,60.392757N,25.667061E,3,18.8,67
85,T,260826,085245,60.392776N,25.667147E,3,18.0,67
86,T,260826,085246,60.392792N,25.667234E,3,18.0,67
87,T,260826,085247,60.392807N,25.667316E,3,17.7,66
88,T,260826,085248,60.392830N,25.667400E,2,17.0,65
89,T,260826,085249,60.392849N,25.667480E,2,16.7,64
90,T,260826,085250,60.392860N,25.667562E,2,16.8,65
91,T,260826,085251,60.392879N,25.667645E,3,17.5,66
92,T,260826,085252,60.392918N,25.667736E,3,18.3,65
93,T,260826,085253,60.392941N,25.667828E,4,18.4,64
94,T,260826,085254,60.392960N,25.667919E,4,19.0,63
95,T,260826,085255,60.392979N,25.668011E,4,19.6,63
96,T,260826,085256,60.393002N,25.668104E,4,19.7,63
97,T,260826,085257,60.393021N,25.668196E,4,20.1,64
98,T,260826,085258,60.393044N,25.668287E,4,20.1,64
99,T,260826,085259,60.393066N,25.668383E,4,20.0,64
100,T,260826,085300,60.393089N,25.668474E,5,19.9,64
101,T,260826,085301,60.393112N,25.668566E,5,19.9,65
102,T,260826,085302,60.393127N,25.668659E,5,20.0,66
103,T,260826,085303,60.393147N,25.668755E,5,20.4,67
104,T,260826,085304,60.393169N,25.668848E,6,20.5,67
105,T,260826,085305,60.393192N,25.668941E,6,20.5,67
106,T,260826,085306,60.393208N,25.669037E,6,20.5,66
107,T,260826,085307,60.393227N,25.669132E,6,20.4,65
108,T,260826,085308,60.393246N,25.669224E,7,20.0,65
109,T,260826,085309,60.393269N,25.669313E,7,19.7,64
110,T,260826,085310,60.393288N,25.669401E,7,20.0,64
111,T,260826,085311,60.393311N,25.669493E,7,20.1,64
112,T,260826,085312,60.393333N,25.669584E,7,20.4,64
113,T,260826,085313,60.393356N,25.669678E,7,20.9,63
114,T,260826,085314,60.393379N,25.669773E,8,21.0,63
115,T,260826,085315,60.393402N,25.669870E,8,20.9,63
116,T,260826,085316,60.393421N,25.669968E,8,20.9,65
117,T,260826,085317,60.393440N,25.670065E,8,20.4,66
118,T,260826,085318,60.393459N,25.670164E,8,21.0,69
119,T,260826,085319,60.393475N,25.670261E,8,20.4,69
120,T,260826,085320,60.393501N,25.670357E,9,20.5,69
121,T,260826,085321,60.393520N,25.670450E,9,20.5,68
122,T,260826,085322,60.393543N,25.670542E,9,20.5,66
123,T,260826,085323,60.393566N,25.670633E,9,20.6,65
124,T,260826,085324,60.393589N,25.670721E,9,20.7,64
125,T,260826,085325,60.393612N,25.670811E,9,20.4,63
126,T,260826,085326,60.393631N,25.670904E,9,20.3,64
127,T,260826,085327,60.393654N,25.670996E,10,19.9,64
128,T,260826,085328,60.393677N,25.671083E,10,19.4,64
129,T,260826,085329,60.393696N,25.671169E,10,18.5,64
130,T,260826,085330,60.393711N,25.671249E,10,17.3,65
131,T,260826,085331,60.393726N,25.671328E,10,16.3,66
132,T,260826,085332,60.393745N,25.671400E,10,15.1,66
133,T,260826,085333,60.393761N,25.671465E,10,13.8,65
134,T,260826,085334,60.393772N,25.671524E,10,12.9,71
135,T,260826,085335,60.393780N,25.671577E,10,11.0,78
136,T,260826,085336,60.393784N,25.671635E,10,13.4,78
137,T,260826,085337,60.393791N,25.671696E,11,12.7,78
138,T,260826,085338,60.393791N,25.671759E,11,12.7,85
139,T,260826,085339,60.393787N,25.671820E,11,13.0,109
140,T,260826,085340,60.393772N,25.671864E,11,12.1,141
141,T,260826,085341,60.393742N,25.671896E,11,14.5,159
142,T,260826,085342,60.393703N,25.671925E,11,16.4,158
143,T,260826,085343,60.393665N,25.671963E,11,18.0,156
144,T,260826,085344,60.393623N,25.671993E,11,18.6,158
145,T,260826,085345,60.393581N,25.672024E,11,18.9,157
146,T,260826,085346,60.393536N,25.672062E,11,19.5,156
147,T,260826,085347,60.393494N,25.672102E,11,19.9,155
148,T,260826,085348,60.393448N,25.672144E,11,19.9,154
149,T,260826,085349,60.393398N,25.672188E,11,20.1,153
150,T,260826,085350,60.393356N,25.672234E,11,20.2,153
151,T,260826,085351,60.393311N,25.672274E,11,20.2,154
152,T,260826,085352,60.393265N,25.672314E,11,20.2,154
153,T,260826,085353,60.393219N,25.672356E,11,20.2,155
154,T,260826,085354,60.393173N,25.672396E,11,19.3,155
155,T,260826,085355,60.393127N,25.672436E,11,18.7,155
156,T,260826,085356,60.393089N,25.672474E,11,18.1,154
157,T,260826,085357,60.393047N,25.672516E,11,17.8,148
158,T,260826,085358,60.393017N,25.672565E,11,17.2,139
159,T,260826,085359,60.392982N,25.672630E,11,17.3,129
160,T,260826,085400,60.392960N,25.672703E,11,17.4,120
161,T,260826,085401,60.392941N,25.672785E,11,17.9,113
162,T,260826,085402,60.392929N,25.672871E,11,18.0,108
163,T,260826,085403,60.392918N,25.672960E,11,18.3,105
164,T,260826,085404,60.392902N,25.673050E,11,18.2,101
165,T,260826,085405,60.392899N,25.673140E,11,18.1,99
166,T,260826,085406,60.392891N,25.673229E,11,18.1,95
167,T,260826,085407,60.392887N,25.673325E,11,18.2,88
168,T,260826,085408,60.392899N,25.673416E,11,19.3,74
169,T,260826,085409,60.392918N,25.673510E,11,19.4,67
170,T,260826,085410,60.392933N,25.673601E,11,19.0,68
171,T,260826,085411,60.392952N,25.673691E,11,19.0,65
172,T,260826,085412,60.392971N,25.673780E,11,19.3,63
173,T,260826,085413,60.392998N,25.673864E,11,18.6,63
174,T,260826,085414,60.393013N,25.673956E,11,18.7,65
175,T,260826,085415,60.393036N,25.674040E,11,19.5,63
176,T,260826,085416,60.393055N,25.674126E,11,18.5,63
177,T,260826,085417,60.393078N,25.674208E,11,17.3,64
178,T,260826,085418,60.393093N,25.674292E,11,17.4,65
179,T,260826,085419,60.393108N,25.674372E,11,15.7,66
180,T,260826,085420,60.393124N,25.674440E,11,14.1,61
181,T,260826,085421,60.393139N,25.674503E,11,13.7,59
182,T,260826,085422,60.393154N,25.674564E,11,12.9,60
183,T,260826,085423,60.393173N,25.674623E,11,12.4,61
184,T,260826,085424,60.393185N,25.674677E,11,10.2,60
185,T,260826,085425,60.393196N,25.674723E,11,8.2,59
186,T,260826,085426,60.393204N,25.674755E,11,7.4,63
187,T,260826,085427,60.393208N,25.674782E,11,5.6,64
188,T,260826,085428,60.393208N,25.674797E,11,3.7,64
189,T,260826,085429,60.393211N,25.674809E,11,0.0,64
190,T,260826,085430,60.393215N,25.674812E,10,0.0,64
191,T,260826,085431,60.393215N,25.674816E,11,0.0,64
192,T,260826,085432,60.393219N,25.674810E,11,0.0,64
193,T,260826,085433,60.393219N,25.674810E,11,0.0,64
194,T,260826,085434,60.393219N,25.674810E,11,0.0,64
195,T,260826,085435,60.393219N,25.674810E,11,0.0,64
196,T,260826,085436,60.393219N,25.674810E,11,0.0,64
197,T,260826,085437,60.393219N,25.674810E,11,0.0,64
198,T,260826,085438,60.393219N,25.674810E,11,0.0,64
199,T,260826,085439,60.393219N,25.674810E,11,0.0,64
200,T,260826,085440,60.393219N,25.674810E,11,0.0,64
201,T,260826,085441,60.393219N,25.674812E,11,0.0,64
202,T,260826,085442,60.393223N,25.674843E,11,8.0,69
203,T,260826,085443,60.393234N,25.674887E,11,10.3,63
204,T,260826,085444,60.393250N,25.674940E,11,12.0,63
205,T,260826,085445,60.393261N,25.674999E,11,13.7,60
206,T,260826,085446,60.393280N,25.675066E,11,15.7,60
207,T,260826,085447,60.393299N,25.675140E,11,16.2,65
208,T,260826,085448,60.393314N,25.675220E,11,18.0,65
209,T,260826,085449,60.393337N,25.675304E,11,18.4,62
210,T,260826,085450,60.393356N,25.675388E,11,17.6,64
211,T,260826,085451,60.393375N,25.675465E,12,18.6,62
212,T,260826,085452,60.393394N,25.675554E,12,18.5,61
213,T,260826,085453,60.393421N,25.675642E,11,19.3,63
214,T,260826,085454,60.393440N,25.675730E,11,19.3,63
215,T,260826,085455,60.393459N,25.675819E,11,19.5,64
216,T,260826,085456,60.393475N,25.675917E,11,19.1,65
217,T,260826,085457,60.393497N,25.676008E,11,20.1,67
218,T,260826,085458,60.393513N,25.676104E,11,18.4,68
219,T,260826,085459,60.393532N,25.676191E,11,19.2,68
220,T,260826,085500,60.393551N,25.676283E,11,19.1,68
221,T,260826,085501,60.393574N,25.676367E,11,18.3,66
222,T,260826,085502,60.393593N,25.676453E,11,17.9,65
223,T,260826,085503,60.393608N,25.676537E,11,17.5,66
224,T,260826,085504,60.393620N,25.676617E,11,16.2,67
225,T,260826,085505,60.393627N,25.676695E,11,15.9,69
226,T,260826,085506,60.393642N,25.676760E,11,14.2,69
227,T,260826,085507,60.393661N,25.676821E,11,14.1,60
228,T,260826,085508,60.393677N,25.676895E,10,15.1,60
229,T,260826,085509,60.393692N,25.676970E,10,15.1,61
230,T,260826,085510,60.393707N,25.677042E,11,15.1,62
231,T,260826,085511,60.393723N,25.677114E,11,14.4,63
232,T,260826,085512,60.393742N,25.677177E,11,13.8,62
233,T,260826,085513,60.393761N,25.677242E,11,13.9,62
234,T,260826,085514,60.393776N,25.677303E,11,13.5,62
235,T,260826,085515,60.393787N,25.677364E,11,11.6,63
236,T,260826,085516,60.393799N,25.677418E,11,10.6,64
237,T,260826,085517,60.393810N,25.677469E,12,9.3,60
238,T,260826,085518,60.393826N,25.677513E,12,7.9,59
239,T,260826,085519,60.393837N,25.677546E,12,6.7,53
240,T,260826,085520,60.393848N,25.677570E,12,5.0,53
241,T,260826,085521,60.393856N,25.677588E,11,4.1,53
242,T,260826,085522,60.393860N,25.677605E,12,0.0,53
243,T,260826,085523,60.393864N,25.677616E,12,0.0,53
244,T,260826,085524,60.393864N,25.677622E,12,0.0,53
245,T,260826,085525,60.393864N,25.677628E,13,0.0,53
246,T,260826,085526,60.393867N,25.677622E,13,0.0,53
247,T,260826,085527,60.393867N,25.677616E,13,0.0,53
248,T,260826,085528,60.393871N,25.677624E,13,0.0,53
249,T,260826,085529,60.393879N,25.677662E,13,10.5,61
250,T,260826,085530,60.393890N,25.677729E,13,14.7,63
251,T,260826,085531,60.393917N,25.677816E,14,18.1,66
252,T,260826,085532,60.393936N,25.677910E,14,18.5,65
253,T,260826,085533,60.393955N,25.677998E,14,17.2,68
254,T,260826,085534,60.393970N,25.678083E,14,16.3,66
255,T,260826,085535,60.393993N,25.678164E,15,16.4,66
256,T,260826,085536,60.394009N,25.678242E,15,16.4,66
257,T,260826,085537,60.394028N,25.678322E,15,17.2,65
258,T,260826,085538,60.394047N,25.678404E,15,17.9,63
259,T,260826,085539,60.394070N,25.678493E,15,18.5,63
260,T,260826,085540,60.394089N,25.678579E,15,18.5,64
261,T,260826,085541,60.394104N,25.678665E,15,18.2,64
262,T,260826,085542,60.394127N,25.678749E,15,18.0,65
263,T,260826,085543,60.394154N,25.678825E,15,17.9,56
264,T,260826,085544,60.394176N,25.678896E,15,16.9,51
265,T,260826,085545,60.394207N,25.678955E,15,18.5,31
266,T,260826,085546,60.394249N,25.678995E,15,19.5,18
